ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Description,Data_Contributor_ID,Survey_Contributor_ID,Survey_Title,Source,Ethnologue_Name,Glossed_Text_PDF,Glossed_Text_Audio,Metadata,Region,Default_Lect_ID,Lexifier
27,Negerhollands,,18.333332,-64.75,nege1244,dcr,"Negerhollands (or Virgin Islands Dutch Creole) is a Dutch-based creole language that is currently extinct. It used to be spoken on the islands of St. Thomas, St. John, and St. Croix, the current US Virgin Islands, a former Danish colony. It was primarily spoken by the slave population labouring in the plantations. In the 19th century, there was a great drift to the town where English and English Creole were spoken Negerhollands became restricted to the decreased population of the rural areas. By the 20th century it was only generally spoken by the older generations. Occasional transfer still produced a handful of speakers up into the 1970s. The last speaker passed away in 1987. The <span style=""font-weight: bold;"">default lect</span> described in <span style=""font-style: italic;"">APiCS </span>is the variety spoken in the 1920s by 60 – 81 year old speakers from St. Thomas and St. John, as documented by De Josselin de Jong (1926). Other documented varieties of Negerhollands are the acrolect spoken by white colonists in the 18th century, often referred to as “Hochkreol”(“High creole”), and the missionary variety used by the missionaries in their liturgical material, primers, and bible translations. The missionaries used Dutch creole in their sermons, services, and literature until the end of the first half of the 19th century.",vansluijsrobbert,vansluijsrobbert,"Negerhollands. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1450;1526;1531;355;375;872;1901[survey],Negerhollands,7bd8a8832eb551fdda01866331f1ecb7,,"{""Number of speakers"": ""none (extinct)"", ""Major lexifier"": ""Zealandic Dutch"", ""Other contributing languages"": ""English, Danish, Portuguese/Spanish (possibly through Papiamentu), Papiamentu"", ""Location"": ""the islands of St. John, St. Croix, and St. Thomas: the three main islands of the current US Virgin Islands"", ""Official language of the US Virgin Islands"": ""English""}",Caribbean,,Dutch
28,Berbice Dutch,,5.611373,-57.870827,berb1259,brc,"Berbice Dutch is extinct, its last speakers having died in the first decade of the twentyfirst century. The fieldwork on which the <span style=""font-style: italic;"">APiCS</span> description of this language is based was carried out in the period 1986-1991 by the author and in the mid 1970s by Ian E. Robertson with speakers on the Berbice River and the Wiruni Creek, the latter a tributary of the Berbice River, in Guyana. Some minor differences exist between Berbice River and Wiruni Creek speakers, notably in the form of the 1PL and 3PL pronouns and in the loss of final unstressed vowels in some forms used by Berbice River speakers. Whether these differences are of recent vintage or represent the continuation of older dialect differences cannot be ascertained, given that an older corpus does not exist. In the description, data from Berbice River and Wiruni Creek speakers are used without distinction.",kouwenbergsilvia,kouwenbergsilvia,"Berbice Dutch. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1183;1292;1428;180;194;733;735;736;737;738;739;740;741;742;743;746;749;750;754;1866[survey],Berbice Creole Dutch,6019898f53deb5306df8e2edd2133161,,"{""Autoglossonym"": ""di lan\u0283i (\u2018the language\u2019)"", ""Other name"": ""Berbice Dutch Creole"", ""Number of speakers"": ""none"", ""Major lexifier"": ""Dutch"", ""Other contributing language"": ""Eastern Ijo"", ""Location"": ""Berbice River (upriver locations), Guyana"", ""Official language of Guyana"": ""English""}",Caribbean,,Dutch
29,Afrikaans,,-33.866669,18.6,afri1274,afr,"Afrikaans is the first language of more than 6 million speakers in South-Africa, Namibia, and the south of Botswana, and second language to many more. There are three main varieties of Afrikaans: Kaaps Afrikaans (Cape Afrikaans) is spoken by coloured people in the South Western part of South Africa, roughly in a circle of around 200-250 km around Cape Town. Oranjerivier-Afrikaans (Orange River Afrikaans) is mainly spoken by coloured people in the south of Free State, the North-Western Cape, and Namibia. Oranjerivier-Afrikaans has much more Khoekhoe influence than Kaaps Afrikaans. Oosgrens-Afrikaans<span style=""font-weight: bold;""> </span> (Eastern Cape Afrikaans) is the variety on which Standard Afrikaans is based. It is spoken by white people in the North Eastern part of South Africa. Standard Afrikaans is spoken throughout South Africa and is the language that most of the white people speak. The default lect used for the description in <span style=""font-style: italic;"">APiCS </span>is Standard Afrikaans.",denbestenhans biberauertheresa,vansluijsrobbert,"Afrikaans. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1183;1226;1227;140;170;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;180;261;373;374;376;402;539;551;975;1859[survey],Afrikaans,2e1371cdcbfdb061f1cdd992d02c2320,,"{""Autoglossonym"": ""Afrikaans"", ""Number of speakers"": ""over 6 million"", ""Major lexifier"": ""Dutch"", ""Other contributing languages"": ""English, Khoekhoe, South African Malay, Portuguese Creole"", ""Location"": ""South Africa, Namibia, Botswana"", ""Official languages of South Africa"": ""Afrikaans, English, Ndebele, Northern Sotho, Sotho, Swati, Tsonga, Tswana, Venda, Xhosa, Zulu""}",Southern Africa,,Dutch
3,Saramaccan,,4.5,-55.5,sara1340,srm,"Saramaccan is one of the maroon creole languages of Surinam. It is spoken by the Saramaccan and Matawai tribes. The sociolinguistic situation of Saramaccan at the present is unclear, as a significant part of the population has moved away from the original maroon settlements on the Suriname River to the following three main locations for different reasons: Paramaribo, the capital of Surinam, for reasons of employment, and as a refuge from the civil war; French Guiana also as a refuge because of the war; and the Netherlands as an emigrant destination. The total number of speakers (in Surinam and in the diaspora) has been estimated as up to 50.000. Little detailed work has been done on internal variation in Saramaccan. Upriver (<span style=""font-style: italic;"">líbase</span>) and downriver (<span style=""font-style: italic;"">básuse</span>) dialects can be distinguished, as well as a separate Matawai dialect spoken on the Saramacca River. The default lect chosen for the description in <span style=""font-style: italic;"">APiCS </span>is roughly the <span style=""font-style: italic;"">Básuse</span>-dialect, due to the fact that the authors have first-hand experience with this variety.",abohenocho veenstratonjes smithnorvalsh,abohenocho smithnorvalsh veenstratonjes,"Saramaccan. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1001;1021;1035;1183;1307;1308;1352;1354;1406;1422;148;1517;1538;1539;1540;1541;1558;1596;196;197;199;200;201;202;27;334;354;451;489;586;599;6;606;626;728;744;796;91;914;915;917;94;984;1914[survey],Saramaccan,9c929b079bdfd20c8c52cdba7b6c21cf,,"{""Autoglossonym"": ""Saam\u00e1k\u00e1 T\u0254\u0301\u014b\u0261\u0254"", ""Other name"": ""English: Saamaka, Dutch: Saramakaans"", ""Number of speakers"": ""ca. 50,000"", ""Major lexifiers"": ""English, Portuguese"", ""Other contributing languages"": ""Gbe, Dutch, Kikongo, Wayana"", ""Location"": ""Suriname River and Saramacca River, Surinam"", ""Official language of Surinam"": ""Dutch, Sranan (Tongo) is the lingua franca.""}",Caribbean,,English
30,Cape Verdean Creole of Santiago,,15.083333,-22.616667,kabu1256,kea,"Cape Verdean Creole is a Portuguese-based creole language spoken by about one million people in and outside the archipelago of Cape Verde, which since 1975 has been independent from Portugal, and since 1981 separated from Guinea-Bissau. About half of the Cape Verdeans speak the Santiago variety, some 250 000 on Santiago island and another 250 000 Cape Verdean emigrants in different countries bordering on the Atlantic Ocean (mainly in the Boston region of the United States and in Lisbon, but also in Brazil, Angola, Senegal etc.). Not all diaspora members have a complete command of the language. On Santiago, everybody speaks Santiago Creole in daily life except for some immigrants from the other islands who have moved to the capital Praia for professional reasons. Nevertheless, Portuguese is still the only official language and the only one used in teaching. The <span style=""font-weight: bold;"">default lect</span> that we chose for description in <span style=""font-style: italic;"">APiCS </span>is a variety equally well accepted in the capital and in the rural regions of the interior. In the interior (concelho de Santa Catarina) it competes with more conservative varieties, in which a women may still be addressed as <span style=""font-style: italic;"">nhára</span> (&lt; Portuguese <span style=""font-style: italic;"">senhora</span>) instead of <span style=""font-style: italic;"">nha</span> etc. In town it competes with varieties and registers more or less influenced by Portuguese, in the dataset indicated as <span style=""font-weight: bold;"">acrolect (close to Portuguese)</span>, which has adjectives varying according to sex (<span style=""font-style: italic;"">minina bunita</span> 'pretty girl' instead of <span style=""font-style: italic;"">minina bunitu</span>) or even according to the gender of Portuguese nouns, etc.",langjurgen,langjurgen,"Cape Verdean Creole of Santiago. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",106;107;108;1192;1255;1256;1293;1407;1408;1473;1542;1543;31;495;497;5;621;624;639;641;780;781;782;784;786;841;844;845;1870[survey],,a9cddf80c59f8c8fce17af20d19a4d64,1042467d532489dad95fd0ddcce6132a,"{""Autoglossonyms"": ""bad\u00edu, kriolu"", ""Other name"": ""English: Santiago Creole, Portuguese: crioulo da ilha de Sant i ago (Cabo Verde)"", ""Number of speakers"": ""450,000"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Atlantic (Wolof, Temne) and Mande (Mandinka) languages"", ""Location"": ""Santiago, and diaspora communities in S\u00e3o Tom\u00e9 and Pr\u00edncipe, the USA (New England Coast, Boston), Angola, Senegal, Portugal, the Netherlands"", ""Official language of Cape Verde"": ""Portuguese""}",West Africa,,Portuguese
31,Cape Verdean Creole of Brava,,14.833333,-24.8,kabu1256,kea,"Cape Verdean Creole is spoken in Cape Verde on nine inhabited islands, including Brava, Fogo, Santiago and Maio to the South and Santo Antão, São Vicente, São Nicolau, Boa Vista, and Sal to the North. The Brava lect is spoken by about 6000 speakers on the smallest, most densely populated island. The default lect that we chose for description in <span style=""font-style: italic;"">APiCS</span> is representative of the basilectal variety and is illustrated mostly by field work data collected in the towns of Furna, Cachaço and Nova Sintra.",baptistamarlyse,baptistamarlyse,"Cape Verdean Creole of Brava. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1028;103;106;107;1259;126;1293;1408;1473;1543;1639;211;270;31;425;452;495;497;5;57;59;61;624;641;663;670;689;690;692;698;780;839;841;844;845;880;882;885;886;887;937;1869[survey],Kabuverdianu,193eb7530ec2c512b65b08a8ac185505,,"{""Autoglossonyms"": ""Kriolu di Dja Braba, Crioulo, Kriolu, Bravense"", ""Other name"": ""Portuguese: Crioulo da ilha de Brava (Cabo Verde)"", ""Number of speakers"": ""6,043 inhabitants (2010) on the island"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Atlantic (Wolof, Temne) and Mande (Mandinka) languages"", ""Location"": ""Brava and diaspora communities in Angola, France, Italy, Mozambique, Netherlands, Portugal, Senegal, S\u00e3o Tom\u00e9 and Pr\u00edncipe, United States (New England area, Florida, California)"", ""Official language of Cape Verde"": ""Portuguese""}",West Africa,,Portuguese
32,Cape Verdean Creole of São Vicente,,16.866667,-24.983334,kabu1256,kea,"Cape Verdean Creole of São Vicente is spoken by 76,107 (2010) inhabitants of São Vicente island (Barlavento group), in the Atlantic Ocean (west of Senegal), and an unknown number of diaspora speakers (in Europe and the United States).

Although an official alphabet for Cape Verdean Creole exists, there is no standard orthography and the language is predominantly oral. Though its use in media, new technologies and formal situations (courts, banks, professional meetings) is increasing, the lexifier Portuguese, used as L2, continues to be the only official language and the language of formal schooling and writing. The level of literacy in São Vicente is 86.3% (2010) and nowadays roughly 60% of São Vicente youth complete secondary education (12 years). 

The small size of the island (approximately 227 km2) and the fact that over 90% of its population live in the port-city of Mindelo contribute to the relative homogeneity of the lect. The São Vicente variety is spoken on a daily basis by all social classes, including resident foreigners, and the differences between the speech of the city dwellers and the speech of the inhabitant of a few interior oases and fishing villages are minor and affect mostly the lexicon. The default lect documented<span style=""font-weight: bold;""> </span>in<span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">APiCS </span>is based on extensive field-work and participant observation and is intended to be representative of the entire speech community. Constructed examples are from Dirceu Rocha, a young urban native speaker of Cape Verdean Creole of São Vicente, who has a university degree and training in linguistics.",swolkiendominika,swolkiendominika,"Cape Verdean Creole of São Vicente. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1456;1871[survey],,b735950253d8a9122f9c179e1d99ba28,6b217e243404ea5d3413f81ec7fddf12,"{""Autoglossonyms"": ""kriol, kriol d\u2019Sonsent"", ""Other name"": ""S\u00e3o Vicente Creole Portuguese: crioulo da ilha de S\u00e3o Vicente (Cabo Verde)"", ""Number of speakers"": ""approx. 76,000"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Sotavento varieties of Cape Verdean Creole (especially the variety of Fogo in the 18th century); Barlavento varieties of Cape Verdean Creole (especially the variety of Santo Ant\u00e3o); English due to port related economic activities and modern globalization"", ""Location"": ""S\u00e3o Vicente island and diaspora communities in Western Europe and the United States"", ""Official language of Cape Verde"": ""Portuguese""}",West Africa,,Portuguese
33,Guinea-Bissau Kriyol,,11.9,-15,uppe1455,pov,"Guinea-Bissau Kriyol is a creole language lexically based on Portuguese which is spoken by over half the population of the Republic of Guinea-Bissau, which totaled 1,520,830 people in 2009.  The creole is normally used in urban areas and in commerce in rural areas, where local languages predominate.  There is a triglossic situation in which Guinea-Bissau Kriyol occupies the middle position in a pyramid between Portuguese at the top with fewer speakers but with more prestige, and with the African languages at the bottom with the greatest total number of speakers but with the least prestige. Researchers such as Alain Kihm and Jean-Louis Rougé agree that Guinea-Bissau Kriyol has regional varieties, the main ones being that of Cacheu and São Domingos in the north, that of Bissau and Bolama in the center and that of Bafatá and Geba in the east. The variety spoken in Cacheu and São Domingos seems to be the most conservative, maintaining structural features today found in the variety spoken in Casamance in Senegal (which lost contact with the superstrate in the nineteenth century; Casamancese Creole is treated as a separate <span style=""font-style: italic;"">APiCS</span> language).  The variety of Bissau and Bolama is the most progressive (having remained in contact with the superstrate as well as its substrate languages). Guinea-Bissau Kriyol was essentially an oral language but written texts gradually began to appear as vehicles of literature, science and religion. It is used in news programs on radio and television, in business, in daily life, and in churches and mosques. Beyond the regional varieties mentioned above, there are others varieties that have developed due to the influence of specific African languages or which reflect an individual speaker’s level of education. The variety which we have described in <span style=""font-style: italic;"">APiCS</span> (default lect) is that used by speakers with a higher level of education. It is the variety used by teachers and students and it shares many more similarities with Portuguese than do the basilectal varieties spoken by people with little education. It is the variety most often heard in Bissau and the other major urban centers, characterized by Portuguese rules of agreement between elements in the noun phrase and by conjugated forms of certain frequent verb s such as <span style=""font-style: italic;"">ser</span> ‘to be (permanently)’, <span style=""font-style: italic;"">estar</span> ‘to be (temporarily)’, or <span style=""font-style: italic;"">ter</span> ‘to have’.",intumboincanha invernoliliana holmjohn,intumboincanha invernoliliana holmjohn,"Guinea-Bissau Kriyol. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1190;1304;1305;1306;1340;1350;1452;1588;1733;1793;253;399;403;668;669;709;711;712;713;714;715;717;826;909;1882[survey],Upper Guinea Crioulo,164fab2711665b1945ab30d6d6c42154,04635ae44a6cc741a98f48e203c29bf1,"{""Autoglossonym"": ""Kriyol"", ""Other names"": ""Portuguese: crioulo, guineense English: Guinea-Bissau Creole Portuguese"", ""Number of speakers"": ""600"", ""Location"": ""Guinea-Bissau, southern Senegal"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Balanta, Fula, Mandinga, Manjaku, Mankanya, Pepel"", ""Major languages of Guinea-Bissau"": ""Portuguese (official language), Kriyol, Balanta, Fula, Manjaku, Mandinga, Pepel, Mankanya, Biafada, Bijag\u00f3, Diola + 11 minor languages""}",West Africa,,Portuguese
34,Casamancese Creole,,12.7,-16.274,uppe1455,,"Casamancese Creole is the mother tongue of about 10,000 people living in or around the Senegalese city of Ziguinchor (Basse-Casamance, Southern Senegal). It is also spoken with various degrees of proficiency by several tens of thousands of second language speakers living in the same region. The language seems to be quite homogeneous. However, language variation exists and seems to be linked with several factors. First, there is a contrast between urban Casamancese (spoken in Ziguinchor), more exposed to the influence of Wolof, French and Guinea-Bissau Kriyol vs. rural Casamancese, generally more conservative and also more influenced by several local adstrates (mostly Ñun, Joola, and Mandinka). Second, there are differences between native and non-native varieties of Casamancese Creole. In the Casamancese-speaking sections of Ziguinchor and in some neighbouring villages (e.g. Sindone), Casamancese is spoken by many people as a first language whereas in other villages (e.g. Djifanghor), Casamancese is used on a daily basis but as a second language alongside with a native language (e.g. a local variety of Ñun in Djifanghor). As regards Djifanghor (and this surely applies to other bilingual communities), the Casamancese spoken by Ñun-speakers, although being very similar to native Casamancese, displays some idiosyncratic developments, e.g. it allows analogical synthetic causatives for <span style=""font-style: italic;"">mas</span> ‘more’ &gt; <span style=""font-style: italic;"">masintí</span> ‘surpass, have a bigger share than’ or <span style=""font-style: italic;"">bas</span> ‘underneath’ &gt; <span style=""font-style: italic;"">basintí</span><span style=""font-weight: bold;""> </span>‘surpass, be better than’, which are refused by native Casamancese speakers. Third, together with urban vs. rural and first vs. second language, there also exists diatopic variation (e.g. the word for ‘cloud’ is <span style=""font-style: italic;"">nuybu</span> in some villages and <span style=""font-style: italic;"">nirbu/nírbu/nibu</span> in other places). Unless otherwise specified, the default lect illustrated in <span style=""font-style: italic;"">APiCS </span>is the variety of Casamancese Creole spoken in the village of Sindone (some 30 km East of Ziguinchor). This rural variety is the native lect of Noël Bernard Biagui, who co-authored this contribution and it is today the main vernacular (and also the first vehicular) language in Sindone.

<span style=""font-weight: bold;"">Acknowledgement:

</span>« cet article a été réalisé grâce au soutien de l’ANR dans le cadre du projet Sénélangues Projet ANR-09-BLAN-0326 » 

 ""this contribution was realised thanks to the support of the ANR (Agence Nationale de la Recherche) within the scope of the project Sénélangues (Projet ANR-09-BLAN-0326)""",biaguinoelbernard quintnicolas,biaguinoelbernard quintnicolas,"Casamancese Creole. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1933[survey],,b643f4098406d134275e1db756ef539c,0b9cec0ad8b740f465311e7bbef1110b,"{""Autoglossonyms"": ""kriyol, li\u014bgu kristo\u014b"", ""Other names"": ""French: cr\u00e9ole casaman\u00e7ais, creole afro-portugais de Casamance, casaman\u00e7ais"", ""Number of speakers"": ""ca. 10,000 (native), between 20,000 and 50,000 (including 2nd language speakers)"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Mandinka (Manding, both substrate and adstrate), Wolof (substrate), Nyun (adstrate)"", ""Location"": ""Senegalese Province of Lower Casamance (in and around the city of Ziguinchor) and diaspora communities (mostly in Dakar)"", ""Official language of Senegal"": ""French""}",West Africa,,Portuguese
35,Santome,,0.33285,6.88,saot1239,cri,"Santome is a Portuguese-related creole language spoken primarily on the island of S. Tomé in the Democratic Republic of S. Tomé e Príncipe by some 60.000 people (2012), which corresponds roughly to one third of its population, and by an unknown number of speakers in the diaspora (e.g. Portugal and Angola). Compared to previous censuses (1991, 2001), the number of speakers appears to be dropping quickly, which is related to the ongoing shift to Portuguese, the official language. In fact, monolingual speakers of Santome are nowadays hard to find. As a non-official language, Santome is essentially an informally used spoken language that is growingly confined from a geographical, generational and functional perspective, which means it is more likely to find fluent speakers in non-urban settings and among older generations. Music is the one of the few domains where the language is still thriving. The data used in <span style=""font-style: italic;"">APiCS</span> (<span style=""font-weight: bold;"">default lect</span>) were generally drawn from transcriptions of mostly 40 to 80 year old native speakers from different non-urban areas of S. Tomé who were recorded in 1997 and 2001. A few written sources were used as well. Whenever necessary, the data for the atlas were double-checked or elicited with the help of other native speakers. The speech varieties of the recorded L1 speakers and the consultants are relatively homogeneous but should be seen within a wider picture of L1/L2 variation, language attrition and change.",hagemeijertjerk,hagemeijertjerk,"Santome. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1257;23;24;25;498;588;589;590;591;592;593;594;776;904;1895[survey],Sãotomense,683604df20a712336edcc2b4758a5813,2cd43e48e024fe75f2d25df7c5cc2a23,"{""Autoglossonyms"": ""Santome, Lungwa Santome, F\u00f4l\u00f4, Dioletu"", ""Other names"": ""English: S\u00e3o Tom\u00e9 Creole, S\u00e3o-Tomense, Santomense Portuguese: Forro, Crioulo Forro, Dialecto, S\u00e3o-Tomense"", ""Number of speakers"": ""100,000 (2001)"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""mainly Edo and Kikongo"", ""Location"": ""islands of S\u00e3o Tom\u00e9 and Pr\u00edncipe, and diaspora (especially Portugal)"", ""Official language of S\u00e3o Tom\u00e9 and Pr\u00edncipe"": ""Portuguese""}",West Africa,,Portuguese
36,Angolar,,0.134582,6.48,ango1258,aoa,"The Portuguese-based language Angolar is spoken by approximatively 5,000 people in the southwestern and the southeastern part of the island of São Tomé in the Gulf of Guinea. It is a maroon creole, that is, a creole that was spoken by slaves who escaped from slavery and rebuilt their own society in regions where they were free from the slave owners. Some Angolar speakers also live on Principe Island as well as in Portugal, especially in Lisbon.

It is not clear whether the language is still being passed on to the newer generations; the pressure from Santome, the other creole language spoken on the island, and from Portuguese is very strong.

Though Angolar is not mutually intelligible with Santome, it is closely related to and most probably derived from it (as the other two creole languages of the Gulf of Guinea, Principense and Fa d’Ambô). What characterizes Angolar is that an important part of its vocabulary is of Bantu, especially of Kimbundu origin. Note, however, that this influence concerns mostly the lexicon and not the morphosyntax of the language.

The default lect chosen for <span style=""font-style: italic;"">APiCS</span> is the variety of speakers who at the time of my main fieldwork (in the early 1990s) were 50 years or older.",maurerphilippe,maurerphilippe,"Angolar. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1183;1348;495;497;498;776;901;1861[survey],Angolar,bbd6d16d760a998eeac2f22e0f587d0d,ba4205d223798d4318f7a34d2ca98ed3,"{""Autoglossonym"": ""lunga Ngola"", ""Other names"": ""Portuguese: angolar ; Regional Portuguese: angolar, dioletu"", ""Number of speakers"": ""about 5,000"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Kimbundu, Santome"", ""Location"": ""S\u00e3o Tom\u00e9 and diaspora community on Pr\u00edncipe and in Portugal"", ""Official language of S\u00e3o Tom\u00e9 and Pr\u00edncipe"": ""Portuguese""}",West Africa,,Portuguese
37,Principense,,1.616667,7.366667,prin1242,pre,"Principense, a Portuguese-based language called Lung’Ie (the language of the island) by its speakers, is an endangered language. On the island of Principe (Gulf of Guinea), there are maybe still twenty native speakers who speak the language fluently; however, a teritorially homogeneous linguistic community does not exist any more. The dominant languages of Principe are regional varieties of Portuguese as well as Cape Verdean Creole; the latter is spoken by more than half of the population of the island, due to the important immigration of Cape Verdeans from the beginning of the 20th century.

Some efforts have been made to teach Principense in school, but these efforts have not been successful. Printed media do not exist on the island of Principe, but radio news are broadcast five times a week (sometimes less).

Outside Principe, Principense is spoken on the neighbouring island São Tomé; a fairly numerous community of Principense speakers live in Lisbon (Portugal); however, it is impossible to determine the exact number of these native speakers.

The <span style=""font-weight: bold;"">default lect</span> described in <span style=""font-style: italic;"">APiCS</span> is the lect spoken by people aged sixty or more; <span style=""font-weight: bold;"">younger generation</span> refers to some extremely rare speakers between thirty and fifty years who possess a good command of the language.",maurerphilippe,maurerphilippe,"Principense. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1183;1473;1494;496;497;580;776;845;902;905;1909[survey],Principense,ee7c49e7b559639f9490886ff058d962,7ed448b285031ba8ba1e3fe0b661ec56,"{""Autoglossonyms"": ""lung\u2019Ie, f\u00f4r\u00f4"", ""Other names"": ""Portuguese: dialeto, dioleto"", ""Number of speakers"": ""less than 100"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Edo, Yoruba, Kikongo"", ""Location"": ""Pr\u00edncipe and diaspora communities in S\u00e3o Tom\u00e9 and Portugal"", ""Official language of S\u00e3o Tom\u00e9 and Pr\u00edncipe"": ""Portuguese""}",West Africa,,Portuguese
38,Fa d’Ambô,,-1.433333,5.633333,fada1250,fab,"Fa d’Ambô is the language of the island of Annobón in the Gulf of Guinea. It probably developed from the creole of São Tomé as it was spoken at the beginning of the sixteenth century. Most of the c. 5,000 speakers live on the island of Annobón and in Malabo, the capital of Equatorial Guinea. On Annobón, people speak Fa d’Ambô most of the time, while they speak Spanish, the official language of the country, only in formal contexts, e.g. in the educational system. In Malabo the situation is much more complicated as it is a melting pot of languages, including the vernacular language Pichi, an English-based creole. Probably close to 100% of the men are at least bilingual, as they usually go to Malabo to work. For women this percentage is lower. Some of them have never left the island and have used Spanish only in school.",postmarike,postmarike,"Fa d’Ambô. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1231;1233;1235;1236;1237;1238;1239;1240;1241;1786;315;1878[survey],Fa d'Ambu (wohl falsch),728941b9dee7fc42f25f9546d8767f70,,"{""Autoglossonym"": ""Fa d\u2019Amb\u00f4"", ""Other names"": ""Spanish: Annobonense English: Annobonese, Fa d\u2019Ambu"", ""Number of speakers"": ""ca. 4,500\u20135,000"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Edo, Yoruba, Kikongo"", ""Location"": ""Equatorial Guinea, mainly Annob\u00f3n and Malabo"", ""Official language of Equatorial Guinea"": ""Spanish""}",West Africa,,Portuguese
39,Diu Indo-Portuguese,,20.713087,70.984726,dama1278,,"With a small and close-knit population of around 180 speakers, Diu Indo-Portuguese is not characterized by regional variants, although an unspecified number of speakers have indeed migrated to other parts of the world. However, this is not to say there is no variation: the most relevant type is contextual, caused by the variable integration of features of Portuguese (e.g., some person marking on verb forms, some phonetic specificities, some lexemes...), in which a section of the speech community is fluent to differing degrees; in addition, the presence of speakers of the related Indo-Portuguese creole of Daman and speakers of other languages for whom Indo-Portuguese is an L2 also implies some variation. The description of the language in Cardoso (2009) and <span style=""font-style: italic;"">APiCS</span> is based on recordings made in Diu between 2004 and 2008, with native speakers of all ages whose immediate family hailed from the territory and in contexts as free as possible from the normative pressure of Portuguese - this constitutes the <span style=""font-weight: bold;"">default lect</span> in this publication, in which variation is duly reported. Occasionally, reference is made to an <span style=""font-weight: bold;"">older lect</span>, which draws mostly on a short corpus published by Hugo Schuchardt in 1883 and, when they coincide, on the speech of the elder speakers.",cardosohugoc,cardosohugoc,"Diu Indo-Portuguese. In ""The survey of pidgin and creole languages"". Volume 2: Portuguese-based, Spanish-based, and French-based Languages",1736;218;220;221;1875[survey],< Indo-Portuguese,5732188f6293b5f5eef61920eb6fdda6,,"{""Autoglossonyms"": ""purt\u0259gez d\u0259 diw , l\u0129g d\u0259 diw, purt\u0259gez"", ""Other names"": ""Portuguese: Norteiro, Portugu\u00eas dos Norteiros, Indo-Portugu\u00eas"", ""Number of speakers"": ""c. 180"", ""Major lexifier"": ""Portuguese"", ""Other contributing languages"": ""Gujarati (dominant), English, Hindi, Konkani"", ""Location"": ""Diu (India)"", ""Main language of Diu"": ""Gujarati""}",South Asia,,Portuguese
