ID,Name,Description,Contributor_ID,Chapter,Type,PHOIBLE_Segment_ID,PHOIBLE_Segment_Name,Multivalued,WALS_ID,WALS_Representation,Area,Map_Gall_Peters,metadata
166,qʰ - voiceless aspirated uvular plosive,,,,segment,871B92989C5EC420B7D61B05731D1E83,qʰ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 167, ""phoible"": {""id"": ""871B92989C5EC420B7D61B05731D1E83"", ""segment"": ""q\u02b0""}, ""symbol"": ""q\u02b0"", ""obstruent"": true, ""consonant"": true}"
167,qʰʷ - labialized voiceless aspirated uvular plosive,,,,segment,371CBFDF45EF7940161892D54B8E1342,qʷʰ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 182, ""phoible"": {""id"": ""371CBFDF45EF7940161892D54B8E1342"", ""segment"": ""q\u02b7\u02b0""}, ""symbol"": ""q\u02b0\u02b7"", ""obstruent"": true, ""consonant"": true}"
168,pʼ - voiceless bilabial ejective plosive,,,,segment,646674CE0AF099A6E69FB25363B53313,pʼ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 20, ""phoible"": {""id"": ""646674CE0AF099A6E69FB25363B53313"", ""segment"": ""p\u02bc""}, ""symbol"": ""p\u02bc"", ""obstruent"": true, ""consonant"": true}"
169,tʼ - voiceless dental/alveolar ejective plosive,,,,segment,11D5EDE5CF43EE6FA131900D77195344,tʼ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 21, ""phoible"": {""id"": ""11D5EDE5CF43EE6FA131900D77195344"", ""segment"": ""t\u02bc""}, ""symbol"": ""t\u02bc"", ""obstruent"": true, ""consonant"": true}"
17,Special dependent person forms for subject and object,"All languages have independent personal pronouns (words like 'I', 'you, 'he', 'we', etc.) that can occur on their own or in constructions in which they are singled out (focus constructions, coordination constructions). 
In addition, some languages have a special set of dependent person forms, which only occur together with a verb. They may be clitics or affixes, but the crucial characteristic is that they cannot be focused, coordinated or occur as an independent utterance. Thus, the weak French subject pronouns (<span style=""font-style: italic;"">je, tu, il,</span> etc.), the Spanish clitic object pronouns (<span style=""font-style: italic;"">me, te, lo, nos</span>, etc.), and also the Spanish subject person markers or verbs (<span style=""font-style: italic;"">quiér-o </span>'I want', <span style=""font-style: italic;"">quiér-es</span> 'you want') count as dependent person foorms. 
Not uncommonly, a distinction between independent and dependent pronouns is made only in some forms of the paradigm (e.g. in Kriol, only the <span style=""font-variant: small-caps;"">1SG</span> and the <span style=""font-variant: small-caps;"">3PL</span> have distinct dependent and independent subject forms). Such partially differentiated paradigms are lumped together with fully differentiated paradigms here.",haspelmathmartin,,primary,,,false,,,Nominal categories,6935a6d8552b43e156a598521565851f,{}
170,t͡sʼ - voiceless dental/alveolar sibilant ejective affricate,,,,segment,BAC70456E8C04CEFDCAC8240DAFE192F,tsʼ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 81, ""phoible"": {""id"": ""BAC70456E8C04CEFDCAC8240DAFE192F"", ""segment"": ""ts\u02bc""}, ""symbol"": ""t\u0361s\u02bc"", ""obstruent"": true, ""consonant"": true}"
171,t͡ʃʼ - voiceless palato-alveolar sibilant ejective affricate,,,,segment,73C29ACCE17EFB4239E53D799AD7C696,t̠ʃʼ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 28, ""phoible"": {""id"": ""73C29ACCE17EFB4239E53D799AD7C696"", ""segment"": ""t\u0320\u0283\u02bc""}, ""symbol"": ""t\u0361\u0283\u02bc"", ""obstruent"": true, ""consonant"": true}"
172,kʼ - voiceless velar ejective plosive,,,,segment,B9C749831BC59B5585B5AE2159F32788,kʼ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 22, ""phoible"": {""id"": ""B9C749831BC59B5585B5AE2159F32788"", ""segment"": ""k\u02bc""}, ""symbol"": ""k\u02bc"", ""obstruent"": true, ""consonant"": true}"
173,kʼʷ - labialized voiceless velar ejective plosive,,,,segment,47303B91809D8C773EF93A156FA2A180,kʼʷ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 77, ""phoible"": {""id"": ""47303B91809D8C773EF93A156FA2A180"", ""segment"": ""k\u02bc\u02b7""}, ""symbol"": ""k\u02bc\u02b7"", ""obstruent"": true, ""consonant"": true}"
174,qʼ - voiceless uvular ejective plosive,,,,segment,F004A6DF8DC34AB3759000D0EEA099AC,qʼ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 78, ""phoible"": {""id"": ""F004A6DF8DC34AB3759000D0EEA099AC"", ""segment"": ""q\u02bc""}, ""symbol"": ""q\u02bc"", ""obstruent"": true, ""consonant"": true}"
175,qʼʷ - labialized voiceless uvular ejective plosive,,,,segment,11925EC0B8A2A72E2C5C8869A02ECCF4,qʼʷ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 158, ""phoible"": {""id"": ""11925EC0B8A2A72E2C5C8869A02ECCF4"", ""segment"": ""q\u02bc\u02b7""}, ""symbol"": ""q\u02bc\u02b7"", ""obstruent"": true, ""consonant"": true}"
176,ɓ - voiced bilabial implosive plosive,,,,segment,CFA86CE56605194A2F338BA3E3974EA3,ɓ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 23, ""phoible"": {""id"": ""CFA86CE56605194A2F338BA3E3974EA3"", ""segment"": ""\u0253""}, ""symbol"": ""\u0253"", ""obstruent"": true, ""consonant"": true}"
177,ɗ - voiced dental/alveolar implosive plosive,,,,segment,192EEEA914E770D60BEC3F86DAED50AA,ɗ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 128, ""phoible"": {""id"": ""192EEEA914E770D60BEC3F86DAED50AA"", ""segment"": ""\u0257""}, ""symbol"": ""\u0257"", ""obstruent"": true, ""consonant"": true}"
178,m - voiced bilabial nasal,,,,segment,5AE9663626770D1D4B97AAE5769AB83C,m,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 42, ""phoible"": {""id"": ""5AE9663626770D1D4B97AAE5769AB83C"", ""segment"": ""m""}, ""symbol"": ""m"", ""obstruent"": false, ""consonant"": true}"
179,n - voiced dental/alveolar nasal,,,,segment,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 43, ""phoible"": {""id"": ""E03DA215BAB0A158BA5D1CB5C4D5D6FD"", ""segment"": ""n""}, ""symbol"": ""n"", ""obstruent"": false, ""consonant"": true}"
18,Politeness distinctions in second-person pronouns,"This feature (based on <span style=""font-style: italic;"">WALS</span> feature 45, by Johannes Helmbrecht) is concerned with second-person pronouns, which in some languages make a politeness distinction. A binary politeness distinction is a contrast such as <span style=""font-style: italic;"">tu/vous</span> in French or <span style=""font-style: italic;"">tú/Usted</span> in Spanish. Some languages even distinguish more than two degrees of politeness, by having distinct forms for intimate address, for neutral address, and for polite address. Finally, some languages use titles (as well as similar expressions such as kinship terms or names) as second-person forms. Although this option is in principle compatible with the other three values, it is distinguished as a fourth value here.",haspelmathmartin,,primary,,,false,45A,207,Nominal categories,fd6821c435b0c8a6d8829c9a882e91f2,{}
180,ɳ - voiced retroflex nasal,,,,segment,6838968A8DAA29313F3FD0EF4CE0AF3C,ɳ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 44, ""phoible"": {""id"": ""6838968A8DAA29313F3FD0EF4CE0AF3C"", ""segment"": ""\u0273""}, ""symbol"": ""\u0273"", ""obstruent"": false, ""consonant"": true}"
181,ɲ - voiced palatal nasal,,,,segment,1AD6D96C35E6ADA62F1EAF5B167F75F7,ɲ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 45, ""phoible"": {""id"": ""1AD6D96C35E6ADA62F1EAF5B167F75F7"", ""segment"": ""\u0272""}, ""symbol"": ""\u0272"", ""obstruent"": false, ""consonant"": true}"
182,ŋ - voiced velar nasal,,,,segment,941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 46, ""phoible"": {""id"": ""941ED37AAF5E9C4E1B40D85008C6B2D9"", ""segment"": ""\u014b""}, ""symbol"": ""\u014b"", ""obstruent"": false, ""consonant"": true}"
183,r - voiced dental/alveolar trill,,,,segment,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 47, ""phoible"": {""id"": ""5D1D7FB69E1A3C0C60001FBC0C19ED87"", ""segment"": ""r""}, ""symbol"": ""r"", ""obstruent"": false, ""consonant"": true}"
184,ɾ - voiced dental/alveolar flap,,,,segment,795215076D89B5B17C0D147BE5C341E3,ɾ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 48, ""phoible"": {""id"": ""795215076D89B5B17C0D147BE5C341E3"", ""segment"": ""\u027e""}, ""symbol"": ""\u027e"", ""obstruent"": false, ""consonant"": true}"
185,ɹ - voiced dental/alveolar approximant,,,,segment,BF93B485560325B98EACB69D278AD493,ɹ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 108, ""phoible"": {""id"": ""BF93B485560325B98EACB69D278AD493"", ""segment"": ""\u0279""}, ""symbol"": ""\u0279"", ""obstruent"": false, ""consonant"": true}"
186,ɻ - voiced retroflex approximant,,,,segment,A226BAACF325CDDFA1D1D7C55D9EA781,ɻ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 163, ""phoible"": {""id"": ""A226BAACF325CDDFA1D1D7C55D9EA781"", ""segment"": ""\u027b""}, ""symbol"": ""\u027b"", ""obstruent"": false, ""consonant"": true}"
187,ɸ - voiceless bilabial fricative,,,,segment,E9F92ED438311DEF47430F2DC3038C22,ɸ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 29, ""phoible"": {""id"": ""E9F92ED438311DEF47430F2DC3038C22"", ""segment"": ""\u0278""}, ""symbol"": ""\u0278"", ""obstruent"": true, ""consonant"": true}"
188,β - voiced bilabial fricative,,,,segment,A2DFF488C07B9A11B5DF5EA37214750D,β,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 30, ""phoible"": {""id"": ""A2DFF488C07B9A11B5DF5EA37214750D"", ""segment"": ""\u03b2""}, ""symbol"": ""\u03b2"", ""obstruent"": true, ""consonant"": true}"
189,f - voiceless labio-dental fricative,,,,segment,86E80A7DA80F7F58CA76F85BACA48F86,f,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 31, ""phoible"": {""id"": ""86E80A7DA80F7F58CA76F85BACA48F86"", ""segment"": ""f""}, ""symbol"": ""f"", ""obstruent"": true, ""consonant"": true}"
19,Interrogative pronouns,"Here we look at the four interrogative pronouns ‘who’, ‘where’, ‘when’, and ‘how’ and ask whether they are expressed as simple, monomorphemic words as in the European lexifiers, or as compound expressions consisting of a generic noun and an adnominal interrogative word. 
Compound interrogatives translate literally as 'which person', 'what place', 'what hour', 'what manner' or similar. From the first through the last value, languages show an increasing amount of compound expressions, and thus an increasing degree of distance from the European lexifiers.",haspelmathmartin,,primary,,,false,,,Nominal categories,3f5c8bc35eb55266cd6aef97d2a468f4,{}
190,v - voiced labio-dental fricative,,,,segment,033ACAA664F151FC56BC9595526BCFA4,v,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 32, ""phoible"": {""id"": ""033ACAA664F151FC56BC9595526BCFA4"", ""segment"": ""v""}, ""symbol"": ""v"", ""obstruent"": true, ""consonant"": true}"
191,θ - voiceless dental fricative,,,,segment,7D184A6DCDA3EB154F9CB34651E02EEE,θ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 82, ""phoible"": {""id"": ""7D184A6DCDA3EB154F9CB34651E02EEE"", ""segment"": ""\u03b8""}, ""symbol"": ""\u03b8"", ""obstruent"": true, ""consonant"": true}"
192,ð - voiced dental fricative,,,,segment,C74BECEC6C9DBC95D2C92E893F72A8AD,ð,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 33, ""phoible"": {""id"": ""C74BECEC6C9DBC95D2C92E893F72A8AD"", ""segment"": ""\u00f0""}, ""symbol"": ""\u00f0"", ""obstruent"": true, ""consonant"": true}"
193,s - voiceless dental/alveolar sibilant fricative,,,,segment,7FF174469DAC4E61520F4E1610B2F088,s,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 34, ""phoible"": {""id"": ""7FF174469DAC4E61520F4E1610B2F088"", ""segment"": ""s""}, ""symbol"": ""s"", ""obstruent"": true, ""consonant"": true}"
194,z - voiced dental/alveolar sibilant fricative,,,,segment,E77FDA2EAABA78B3E55A968B2257CF26,z,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 35, ""phoible"": {""id"": ""E77FDA2EAABA78B3E55A968B2257CF26"", ""segment"": ""z""}, ""symbol"": ""z"", ""obstruent"": true, ""consonant"": true}"
195,ʃ - voiceless palato-alveolar sibilant fricative,,,,segment,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 36, ""phoible"": {""id"": ""9E7CDEEE9F0DE43C10181AE483F62CBD"", ""segment"": ""\u0283""}, ""symbol"": ""\u0283"", ""obstruent"": true, ""consonant"": true}"
196,ʒ - voiced palato-alveolar sibilant fricative,,,,segment,DAC6AC8BCA2D24EFF188A7129D280801,ʒ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 37, ""phoible"": {""id"": ""DAC6AC8BCA2D24EFF188A7129D280801"", ""segment"": ""\u0292""}, ""symbol"": ""\u0292"", ""obstruent"": true, ""consonant"": true}"
197,ɕ - voiceless alveolo-palatal fricative,,,,segment,5B46730211D403D44939C20A4D77EACA,ɕ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 209, ""phoible"": {""id"": ""5B46730211D403D44939C20A4D77EACA"", ""segment"": ""\u0255""}, ""symbol"": ""\u0255"", ""obstruent"": true, ""consonant"": true}"
198,ç - voiceless palatal fricative,,,,segment,A933E2A015DCF1AB1B946DBA04C1958C,ç,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 133, ""phoible"": {""id"": ""A933E2A015DCF1AB1B946DBA04C1958C"", ""segment"": ""c\u0327""}, ""symbol"": ""\u00e7"", ""obstruent"": true, ""consonant"": true}"
199,x - voiceless velar fricative,,,,segment,F62AFB705D2A2D30BB41CF3FBE917891,x,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 38, ""phoible"": {""id"": ""F62AFB705D2A2D30BB41CF3FBE917891"", ""segment"": ""x""}, ""symbol"": ""x"", ""obstruent"": true, ""consonant"": true}"
2,Order of possessor and possessum,"This feature (based on <span style=""font-style: italic;"">WALS</span> feature 86, by Matthew S. Dryer) concerns the word order within attributive possessive constructions, i.e. the order of the possessor noun phrase with respect to the head noun (or possessum).
	We restrict ourselves to the position of possessive noun phrases containing (full) nouns, rather than those involving only a pronominal word or affix. This is because in some languages pronominal possessors occur in different positions than nominal ones. 
	Whether or not the construction involves other words or affixes on the head or the possessor noun is irrelevant for this feature. For example, in a number of pidgins and creoles a third person possessive pronoun is placed between the possessor and the possessum (cf. Feature 38 “Marking of possessor noun phrases”).
	The term <span style=""font-style: italic;"">possession</span> is used in this context in a broad sense, including of course ownership like <span style=""font-style: italic;"">the old lady’s dog</span> but also (a) kinship relations and possession of body parts, as in <span style=""font-style: italic;"">Mary’s mother</span> and <span style=""font-style: italic;"">Mary’s foot</span>, and (b) the subjective and objective genitive with action nominals, where the possessor would be the subject or object in a sentential paraphrase, e.g. <span style=""font-style: italic;"">the teacher’s efforts</span> or the <span style=""font-style: italic;"">pupil’s detention.</span>",hubermagnus,,primary,,,true,86A,1248,Word order,b3dc0ab56d33ff4c6a47b8ec6e2a17fa,{}
20,Pronoun conjunction,"Here we ask how a language treats notional conjunction of singular personal pronoun and full noun phrase, as in 'Mary and I', or 'you and your brother'. Most commonly, languages use a singular pronoun that is overtly conjoined (by an 'and' word) with the full noun phrase. But they may also use an inclusory pronoun which denotes the entire set and that is combined with a subset NP that denotes a proper subset, e.g. ""we # Mary"" means 'we including Mary', i.e. 'Mary and I'. The inclusory pronoun can be simply juxtaposed, or combined with the subset NP by a marker, or or followed by a numeral. Finally, the singular pronoun may be simply juxtaposed with the other conjunct.",haspelmathmartin,,primary,,,true,,,Nominal categories,33077f3f771a249545a5afbafc7e3c04,{}
200,xʷ - labialized voiceless velar fricative,,,,segment,CC1E157E56BC1B4B281FF3ACD292F7DF,xʷ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 84, ""phoible"": {""id"": ""CC1E157E56BC1B4B281FF3ACD292F7DF"", ""segment"": ""x\u02b7""}, ""symbol"": ""x\u02b7"", ""obstruent"": true, ""consonant"": true}"
201,ɣ - voiced velar fricative,,,,segment,1832D7834F81DD97E33C58D9F70EC5C6,ɣ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 39, ""phoible"": {""id"": ""1832D7834F81DD97E33C58D9F70EC5C6"", ""segment"": ""\u0263""}, ""symbol"": ""\u0263"", ""obstruent"": true, ""consonant"": true}"
202,χ - voiceless uvular fricative,,,,segment,24934115EB451EB20C91AC9D2AD62537,χ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 40, ""phoible"": {""id"": ""24934115EB451EB20C91AC9D2AD62537"", ""segment"": ""\u03c7""}, ""symbol"": ""\u03c7"", ""obstruent"": true, ""consonant"": true}"
203,χʷ - labialized voiceless uvular fricative,,,,segment,26770129337E78245F6006266F845267,χʷ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 200, ""phoible"": {""id"": ""26770129337E78245F6006266F845267"", ""segment"": ""\u03c7\u02b7""}, ""symbol"": ""\u03c7\u02b7"", ""obstruent"": true, ""consonant"": true}"
204,ʁ - voiced uvular fricative,,,,segment,B8654231A8D23801B38D10EE554ACBD5,ʁ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 118, ""phoible"": {""id"": ""B8654231A8D23801B38D10EE554ACBD5"", ""segment"": ""\u0281""}, ""symbol"": ""\u0281"", ""obstruent"": true, ""consonant"": true}"
205,h - voiceless glottal fricative,,,,segment,E7FBD92350B3CA8B7B5D77E36A607068,h,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 41, ""phoible"": {""id"": ""E7FBD92350B3CA8B7B5D77E36A607068"", ""segment"": ""h""}, ""symbol"": ""h"", ""obstruent"": true, ""consonant"": true}"
206,hʷ - labialized voiceless glottal fricative,,,,segment,4E454EFC24409956D610FB858C201318,hʷ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 153, ""phoible"": {""id"": ""4E454EFC24409956D610FB858C201318"", ""segment"": ""h\u02b7""}, ""symbol"": ""h\u02b7"", ""obstruent"": true, ""consonant"": true}"
207,ħ - voiceless pharyngeal fricative,,,,segment,C699D862DAE3202097065A59720E60BC,ħ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 135, ""phoible"": {""id"": ""C699D862DAE3202097065A59720E60BC"", ""segment"": ""\u0127""}, ""symbol"": ""\u0127"", ""obstruent"": true, ""consonant"": true}"
208,ʕ - voiced pharyngeal fricative,,,,segment,55F94F929CDB58CDE9BE8333787E3A31,ʕ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 197, ""phoible"": {""id"": ""55F94F929CDB58CDE9BE8333787E3A31"", ""segment"": ""\u0295""}, ""symbol"": ""\u0295"", ""obstruent"": true, ""consonant"": true}"
209,l - voiced dental/alveolar lateral approximant,,,,segment,03413638BD1DFC7AEF53192FEF71F017,l,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 49, ""phoible"": {""id"": ""03413638BD1DFC7AEF53192FEF71F017"", ""segment"": ""l""}, ""symbol"": ""l"", ""obstruent"": false, ""consonant"": true}"
21,Indefinite pronouns,"In the feature (based on <span style=""font-style: italic;"">WALS</span> feature 46, by Martin Haspelmath, we look at the form of indefinite pronouns, i.e. expressions rendering 'something' and 'somebody'. These can be expressed by special pronoun forms such as Papiamentu or Spanish <span style=""font-style: italic;"">algo</span> 'something', or by interrogative-based forms such as Chinuk Wawa <span style=""font-style: italic;"">íkta</span> 'what; something', or by generic-noun-based forms such as Guinea-Bissau Kriyol <span style=""font-style: italic;"">un kusa</span> 'a thing, something', or by old generic-noun-based indefinites that continue the English forms <span style=""font-style: italic;"">something</span> and <span style=""font-style: italic;"">somebody</span> (e.g. Kriol <span style=""font-style: italic;"">jamjing</span>, <span style=""font-style: italic;"">sambadi</span>) but are no longer synchronically analyzable. Finally, languages may use a special existential construction instead of an indefinite pronoun in argument position ('There is who came' for 'Someone came').",haspelmathmartin,,primary,,,true,46A,326,Nominal categories,89b05d96031d04272b4b79d5e93933f7,{}
210,lː - geminate voiced lateral approximant,,,,segment,02CD835C8B5754AB3DB22940C8405C85,lː,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 202, ""phoible"": {""id"": ""02CD835C8B5754AB3DB22940C8405C85"", ""segment"": ""l\u02d0""}, ""symbol"": ""l\u02d0"", ""obstruent"": false, ""consonant"": true}"
211,lʲ - palatalized voiced lateral approximant,,,,segment,548D8E709B3C8F7FFB5983EA5E033D11,lʲ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 134, ""phoible"": {""id"": ""548D8E709B3C8F7FFB5983EA5E033D11"", ""segment"": ""l\u02b2""}, ""symbol"": ""l\u02b2"", ""obstruent"": false, ""consonant"": true}"
212,ɬ - voiceless dental/alveolar lateral fricative,,,,segment,1F0C89A7E99CD5113AA994AD2CC86CBC,ɬ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 85, ""phoible"": {""id"": ""1F0C89A7E99CD5113AA994AD2CC86CBC"", ""segment"": ""\u026c""}, ""symbol"": ""\u026c"", ""obstruent"": true, ""consonant"": true}"
213,tɬ - voiceless lateral affricate,,,,segment,5685FEAEF0E34B92C6562FDE7687D3DA,tɬ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 205, ""phoible"": {""id"": ""5685FEAEF0E34B92C6562FDE7687D3DA"", ""segment"": ""t\u026c""}, ""symbol"": ""t\u026c"", ""obstruent"": true, ""consonant"": true}"
214,tɬʼ - voiceless lateral ejective affricate,,,,segment,2DB690B58A1A825334598BDE8BE44D7D,tɬʼ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 210, ""phoible"": {""id"": ""2DB690B58A1A825334598BDE8BE44D7D"", ""segment"": ""t\u026c\u02bc""}, ""symbol"": ""t\u026c\u02bc"", ""obstruent"": true, ""consonant"": true}"
215,ʎ - voiced palatal lateral approximant,,,,segment,1C7F2960BE4EDD840C01C94930F1D932,ʎ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 114, ""phoible"": {""id"": ""1C7F2960BE4EDD840C01C94930F1D932"", ""segment"": ""\u028e""}, ""symbol"": ""\u028e"", ""obstruent"": false, ""consonant"": true}"
216,ɮ - voiced lateral fricative,,,,segment,8AB7F55EAB4F34299B9887A4F4BCF42F,ɮ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 144, ""phoible"": {""id"": ""8AB7F55EAB4F34299B9887A4F4BCF42F"", ""segment"": ""\u026e""}, ""symbol"": ""\u026e"", ""obstruent"": true, ""consonant"": true}"
217,ɭ - voiced retroflex lateral approximant,,,,segment,512D7E3344FCD21B1EE47971D72DB39A,ɭ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 50, ""phoible"": {""id"": ""512D7E3344FCD21B1EE47971D72DB39A"", ""segment"": ""\u026d""}, ""symbol"": ""\u026d"", ""obstruent"": false, ""consonant"": true}"
218,j - voiced palatal glide,,,,segment,ADF56B8E4119266843033E723A149AE2,j,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 51, ""phoible"": {""id"": ""ADF56B8E4119266843033E723A149AE2"", ""segment"": ""j""}, ""symbol"": ""j"", ""obstruent"": false, ""consonant"": true}"
219,ȷ̃ - nasalized voiced palatal glide,,,,segment,8E5C34586795133BB63747F3E0FE57B9,j̃,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 143, ""phoible"": {""id"": ""8E5C34586795133BB63747F3E0FE57B9"", ""segment"": ""j\u0303""}, ""symbol"": ""\u0237\u0303"", ""obstruent"": false, ""consonant"": true}"
22,Occurrence of nominal plural markers,"Here we look at the variable occurrence of nominal plural forms (as in <span style=""font-style: italic;"">WALS</span> feature 34, by Martin Haspelmath). Some languages plurals entirely, but those languages that have plural forms often use them optionally, or under certain conditions (such as animacy and definiteness). Especially human nouns tend to show plural marking when plural marking is not invariant in the language. Languages with the second value have optional plural marking but restrict it to human nouns. Languages with the third value have optional plural marking of all nouns. Finally, some languages are like the European lexifiers in requiring invariant plural marking.",haspelmathmartin,,primary,,,false,34A,291,Nominal categories,02fc22369a7c5abb6aa1fdc2eb2127aa,{}
220,ɥ - voiced labiopalatal glide,,,,segment,1D99DEE96BB19529DC9E5ED7FA7BF68B,ɥ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 121, ""phoible"": {""id"": ""1D99DEE96BB19529DC9E5ED7FA7BF68B"", ""segment"": ""\u0265""}, ""symbol"": ""\u0265"", ""obstruent"": false, ""consonant"": true}"
221,w - voiced labial-velar glide,,,,segment,501394D0E2658752D9DA624E7DEBE14B,w,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 52, ""phoible"": {""id"": ""501394D0E2658752D9DA624E7DEBE14B"", ""segment"": ""w""}, ""symbol"": ""w"", ""obstruent"": false, ""consonant"": true}"
222,ʋ - voiced labio-dental approximant,,,,segment,5B8A0392206611F78C6A5ABCF5A4952F,ʋ,false,,,Sonorant consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 115, ""phoible"": {""id"": ""5B8A0392206611F78C6A5ABCF5A4952F"", ""segment"": ""\u028b""}, ""symbol"": ""\u028b"", ""obstruent"": false, ""consonant"": true}"
223,pː - geminate voiceless bilabial plosive,,,,segment,DAA293A200C8597396725116EC9D5654,pː,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 211, ""phoible"": {""id"": ""DAA293A200C8597396725116EC9D5654"", ""segment"": ""p\u02d0""}, ""symbol"": ""p\u02d0"", ""obstruent"": true, ""consonant"": true}"
224,bː - geminate voiced bilabial plosive,,,,segment,97DED3C2CA0EB378AC531C0752A6906F,bː,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 169, ""phoible"": {""id"": ""97DED3C2CA0EB378AC531C0752A6906F"", ""segment"": ""b\u02d0""}, ""symbol"": ""b\u02d0"", ""obstruent"": true, ""consonant"": true}"
225,tː - geminate voiceless dental/alveolar plosive,,,,segment,2FF610B79450F21F9661BCDB08BDC4BC,tː,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 206, ""phoible"": {""id"": ""2FF610B79450F21F9661BCDB08BDC4BC"", ""segment"": ""t\u02d0""}, ""symbol"": ""t\u02d0"", ""obstruent"": true, ""consonant"": true}"
