ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Audio
1-85,1,Da wan bon zomma.,Da\twan\tbun\tsoma.,it.be\tINDF.SG\tgood\tperson,He(/she/it) is a good person.,,,
2-64,2,Wan ben tron datra srefi.,Wan\tben\ttron\tdatra\tsrefi.,one\tPST\tbecome\tdoctor\teven,One even became a doctor.,,,
2-65,2,No  wan sma    ben bai den   nyanyan.,No\twan\tsma\tben\tbai\tden\tnyanyan.,NEG\tone\tperson\tPST\tbuy\tthe.PL\tfood,Not one person bought them.,,,
2-66,2,"Dus  no  wan, no  wan fu unu ben man bai a    unusrefi.","Dus\tno\twan,\tno\twan\tfu\tunu\tben\tman\tbai\ta\tunusrefi.",thus\tNEG\tone\tNEG\tone\tof\tus\tANT\tcan\tbuy\tfrom\tourselves,So none of us could buy from each other.,,,
2-67,2,Nanga den   sma    disi  wi o    abi  wan taki-makandra.,Nanga\tden\tsma\tdisi\twi\to\tabi\twan\ttaki-makandra.,with\tthe.PL\tperson\tDEM\twe\tFUT\thave\tART\ttalk_about,We will have a conversation with these people.,,,
3-34,3,wan buku,wan\tbuku,D/NUM\tbook,a book / one book,,,
4-45,4,"wan pikin; wan, tu, dii","wan\tpikin;\twan,\ttu,\tdii",one\tchild\tone\ttwo\tthree,"a child; one, two, three",,,
5-52,5,hii ga wàn shaap reezaa,hii\tga\twàn\tshaap\treezaa,he\thave\tINDF.ART\tsharp\trazor,He had a sharp razor.,,,
5-78,5,wel wan dee mi bin a lai dong pan dis boot,wel\twan\tdee\tmi\tbin\ta\tlai\tdong\tpan\tdis\tboot,well\tone\tday\t1SG\tPST\tASP\tlie\tdown\ton\tthis\tboat,"Well, one day I was lying down on this boat.",,,
6-32,6,Yuh want wan or two roti?,Yuh\twant\twan\tor\ttwo\troti?,2SG\twant\tone\tor\ttwo\troti,Do you want one or two roti?,,,
7-79,7,Len mi wan bok.,Len\tmi\twan\tbok.,lend\t1SG\tINDF\tbook,Lend me a book.,,,
7-80,7,Hi kuhm ya wid wan spiid.,Hi\tkuhm\tya\twid\twan\tspiid.,3SG\tcome\there\twith\tone\tspeed,He came here in great hurry.,,,
8-46,8,Wahn uman gi Piita di loki lato nomba fi plie.,Wahn\tuman\tgi\tPiita\tdi\tloki\tlato\tnomba\tfi\tplie.,INDF\twoman\tgive\tPeter\tDET\tlucky\tlottery\tnumber\tINF\tplay,A woman gave Peter the lucky lottery number to play.,,,
8-47,8,Piita pik wan apl an Mieri pik tuu.,Piita\tpik\twan\tapl\tan\tMieri\tpik\ttuu.,Peter\tpick\tone\tapple\tand\tMary\tpick\ttwo,Peter picked one apple and Mary picked two.,,,
9-58,9,T. gat wan speʃl maak we i yuz.,T.\tgat\twan\tspeʃl\tmaak\twe\ti\tyuz.,T\tgot\tone\tspecial\tmark\tREL\the\tuse,T. has a special mark that he uses.,,,
9-88,9,Dis badl a me wan a di bigɛs badl.,Dis\tbadl\ta\tme\twan\ta\tdi\tbigɛs\tbadl.,this\tbottle\tTOP\tANT\tone\tof\tthe\tbiggest\tbottle,This bottle was one of the biggest (we ever found).,,,
10-62,10,Di gyal had wan guol ring we ihn pupa gi im an wan guol niigl.,Di\tgyal\thad\twan\tguol\tring\twe\tihn\tpupa\tgi\tim\tan\twan\tguol\tniigl.,ART.DEF\tgirl\thave.PST\tART.INDF\tgold\tring\tREL\t3SG.POSS\tfather\tgive\t3SG\tand\tART.INDF\tgold\tneedle,The girl had a golden ring which her father had given to her and a golden needle.,,,
10-63,10,wan; tuu; trii,wan;\ttuu;\ttrii,one\ttwo\tthree,one; two; three,,,
11-68,11,"Aktuali, Tasba hav a kompliit praimari skuul.","Aktuali,\tTasba\thav\ta\tkompliit\tpraimari\tskuul.",actually\tTasbapauni\thave\tART.INDF\tcomplete\tprimary\tschool,"At present, there is a complete primary school in Tasbapauni.",,,
11-69,11,Deh put op wan lang puol.,Deh\tput\top\twan\tlang\tpuol.,3PL\tput\tup\tART.INDF\tlong\tpole,They put up a tall pole.,,,
11-70,11,Wi hav wan turno onli in di maaning.,Wi\thav\twan\tturno\tonli\tin\tdi\tmaaning.,1PL\thave\tone\tturn\tonly\tin\tART.DEF\tmorning,We have just one shift in the morning.,,,
12-58,12,"And two people get kill. The police kill one, and one other fellow kill the other one.",[...]\tand\tone\tother\tfellow\tkill\tthe\tother\tone.,[...]\tand\tINDF\tother\tfellow\tkill[PFV]\tDEF\tother\tone,[...] and another guy killed the other one.,,,
12-59,12,"Yeah, I know - one time I been - we been in Conch Sound. One yacht come in - come in there - bring some people, and they come 'shore. And - and it catch fire, and they did had this jum- jumping dance, you know?",One\tyacht\tcome\tin\t[...].,INDF\tyacht\tcome[PFV]\tin\t[...],A yacht came in [...].,,,
12-60,12,"[...] if I is on a hill, and you live below me, in the most cases, you still living on a hill.","[...]\tif\tI\tis\ton\ta\thill,\tand\tyou\tlive\tbelow\tme\t[...]\tyou\tstill\tliv-ing\ton\ta\thill.",[...]\tif\tI\t1SG.COP\ton\tINDF\thill\tand\tyou\tlive\tbelow\tme\t[...]\tyou\tstill\tlive-PROG\ton\tINDF\thill,[...] if I live on a hill [...] you [might] still live on a hill.,,,
13-50,13,one cent,one\tcent,NUM\tcent,one cent,,,
13-51,13,a bag,a\tbag,INDF\tbag,a bag,,,
14-38,14,a/one hat,a/one\that,a\that,a hat,,,
15-47,15,wan man,wan\tman,INDF.ART\tman,a certain man,,,
15-48,15,wan man,wan\tman,one\tman,(only) one (a single) man,,,
16-65,16,if jù dè sik jùɔ bakjad jù si ɛ klinik,if\tjù\tdè\tsik\tjùɔ\tbakjad\tjù\tsi\tɛ\tklinik,if\t2SG\tPROG\tsick\t2SG.POSS\tbackyard\t2SG\tsee\tART\tclinic,"If you are ill (nowadays), you see a clinic in your backyard (i.e. nearby, to which you can go).",,,
17-46,17,nyam,nyam,yam,the/a/some yam(s),,,
17-47,17,wo̱n nyam,wo̱n\tnyam,ART.INDF\tyam,a yam OR: one yam,,,
18-43,18,"wan banana, tu banana, tri banana","wan\tbanana,\ttu\tbanana,\ttri\tbanana",one\tbanana\ttwo\tbanana\tthree\tbanana,"one banana, two bananas, three bananas",,,
19-49,19,À wɔnt mek yù du mi sɔ̀n febɔ [...].,À\twɔnt\tmek\tyù\tdu\tmi\tsɔ̀n\tfebɔ\t[...].,1SG.SBJ\twant\tSBJV\t2SG\tdo\t1SG.EMPH\tsome\tfavour\t[...],I want you to do me a favour [...].,,,
19-50,19,Mek à pul wan smɔl tòrí.,Mek\tà\tpul\twan\tsmɔl\ttòrí.,SBJV\t1SG.SBJ\tremove\tone\tsmall\tstory,Let me tell a small story.,,,
19-51,19,wan; tu; tre,wan;\ttu;\ttre,one\ttwo\tthree,one; two; three,,,
20-38,20,Makee roastee one piecee capon.,Makee\troastee\tone\tpiecee\tcapon.,make\troast\tART.INDF\tCLF\tcapon,Roast a capon.,,,
20-39,20,Bring one piecee chair come.,Bring\tone\tpiecee\tchair\tcome.,bring\tART.INDF\tCLF\tchair\tcome,Bring a chair here.,,,
20-76,20,My give you one sample.,My\tgive\tyou\tone\tsample.,1SG\tgive\t2SG\tART.INDF\tsample,I will give you one sample.,,,
21-38,21,a cat; one cat,a\tcat;\tone\tcat,DET\tcat\tQUANT\tcat,a cat; one cat,,,
22-56,22,Long dispela tais saksak i gat wanpela traipela rot tasol em olgeta manmeri i save go kam longen.,Long\tdispela\ttais\tsaksak\ti\tgat\twan-pela\ttraipela\trot\ttasol\tem\tolgeta\tmanmeri\ti\tsave\tgo\tkam\tlong-en.,PREP\tDEM\tswamp\tsago\tPM\tgot\tone-MOD\tbig.MOD\troad\tonly\t3SG\tall\tpeople\tPM\tHAB\tgo\tcome\tPREP-3SG,In this sago swamp there was only one big road that all the people used to go and come.,,,
23-120,23,Wan kaen grup blong ol sapota we hem i givim plante hedek long ol polis olsem long Mexico World Cup mo World Cup long Italy hem i olgeta blong England.,Wan\tkaen\tgrup\tblong\tol\tsapota\twe\them\ti\tgivim\tplante\thedek\tlong\tol\tpolis\tolsem\tlong\tMexico\tWorld\tCup\tmo\tWorld\tCup\tlong\tItaly\them\ti\tolgeta\tblong\tEngland.,one\tkind\tgroup\tof\tPL\tsupporter\tCOMP\t3SG\tAGR\tgive\tplenty\theadache\tto\tPL\tpolice\tlike\tin\tMexico\tWorld\tCup\tand\tWorld\tCup\tin\tItaly\t3SG\tAGR\t3PL\tof\tEngland,One type of group of supporters that gave the police plenty of headaches at the Mexico World Cup and the World Cup in Italy was those from England.,,,
24-64,24,a' gud koknat pai,a'\tgud\tkoknat\tpai,DET.INDF\tgood\tcoconut\tpie,a good coconut pie,,,
24-65,24,Ai si wan mien.,Ai\tsi\twan\tmien.,1SG\tsee\tDET.INDF.SG\tman,I see /saw a man.,,,
25-170,25,I got wan mo geit tharrei.,I\tgot\twan\tmo\tgeit\ttharr-ei.,3SG\thave\tone\tmore\tgate\tDIST-DIR,There is one more gate over there.,,,
26-37,26,wɛn ju luk a ɹak,wɛn\tju\tluk\ta\tɹak,when\t2SG\tsee\tART\trock,when you see a rock,,,
27-32,27,ēn tid da ha ēn noli.,ēn\ttid\tda\tha\tēn\tnoli.,INDF\ttime\tthere\thave\tINDF\tdonkey,Once upon a time there was a donkey.,,,
27-33,27,ēn fa shi hō,ēn\tfa\tshi\thō,one\tof\t3SG.POSS\tear,one of his ears,,,
28-59,28,iʃi koptɛ en kui mɛto,iʃi\tkopu-tɛ\ten\tkui\tmɛtɛ\to,2PL\tbuy-PFV\ta/one\tcow\twith\t3SG,We bought a cow with it (i.e. the money).,,,
28-60,28,iʃi alma kumu-tɛ en stima,iʃi\talma\tkumu-tɛ\ten\tstima,1PL\tall\tcome-PFV\tone\tsteamer,We all came with the same steamerboat.,,,
29-46,29,Ek het 'n kat gesien. vs. Ek het een kat gesien (maar nie meer nie).,Ek\thet\t'n\tkat\tge-sien.\tvs.\tEk\thet\teen\tkat\tge-sien\t(maar\tnie\tmeer\tnie).,1SG\tPST\ta\tcat\tPTCP-seen\tvs.\tI\tPST\tone\tcat\tPTCP-seen\t(but\tNEG\tmore\tNEG),I saw a cat. vs. I saw one cat (but not more).,,,
30-65,30,Más N ten ki buska un pesoa ta koba.,Más\tN=ten\tki=buska\tun=pesoa\tta=koba.,but\tI=have\tthat=search\ta=person\tIPFV=dig,But I need to look for someone to dig (for me).,,,
30-66,30,"Góra, nhu ta kume uns banána, pa nhu ndoxa bóka.","Góra,\tnhu=ta=kume\tuns=banána,\tpa=nhu=ndoxa\tbóka.",now\t2SG.POL.M=IPFV=eat\tART.INDF.PL=banana\tfor=2SG.POL.M=sweeten\tmouth,"Now eat some bananas, so that you get a sweet mouth.",,,
31-66,31,El atxa un rapas di Brava.,El\tatxa\tun\trapas\tdi\tBrava.,he\tfind\tNUM/INDF\tyoung.man\tfrom\tBrava,He met one/a young man from Brava.,,,
31-67,31,Ma N fra N ta tira un foto pamo senpri e lenbransa.,Ma\tN\tfra\tN\tta\ttira\tun\tfoto\tpamo\tsenpri\te\tlenbransa.,But\tI\tsay\tI\tFUT\ttake\ta\tpicture\tbecause\talways\tis\tmemory,But I said that I will take a picture because it will always be a memory.,,,
32-40,32,N ten un pork so.,N\tten\tun\tpork\tso.,1SG\thave\tone\tpig\tonly,I have only one pig.,,,
32-41,32,Es fazê un tank li.,Es\tfazê\tun\ttank\tli.,3PL\tmake\tART.INDF\twater.deposit\there,They built a water deposit here.,,,
33-58,33,un omi musulmanu,un\tomi\tmusulmanu,INDF\tman\tMuslim,a Muslim man,,,
33-59,33,utru omi musulmanu,utru\tomi\tmusulmanu,a\tman\tMuslim,a Muslim man,,,
34-44,34,N wojá un karnedu na kambá kamiñu.,N\tø\twojá\tun\tkarnedu\tna\tkambá\tkamiñu.,1SG.SBJ\tPFV\tsee\tINDF\tsheep\tPROG\tcross\tway,I saw a sheep crossing the street.,,,
34-45,34,un karnedu; un-soŋ karnedu,un\tkarnedu;\tun-soŋ\tkarnedu,INDF\tsheep\ta-only\tsheep,a sheep; one sheep,,,
35-65,35,Ũa migu mu bi ai.,Ũa\tmigu\tmu\tbi\tai.,a\tfriend\t1SG.POSS\tcome\there,A friend of mine came here.,,,
35-66,35,Ũa pema tan ô!,Ũa\tpema\ttan\tô!,one\tpalm.tree\tonly\tPCL,Just one palm tree!,,,
36-40,36,M mêthê ũa litu vi.,M\tmêthê\tũa\tlitu\tvi.,1SG\twant\tone\tliter\twine,I want one liter of palm wine.,,,
37-43,37,Dya ũa a kumbina di w’uvôdô n’ose.,Dya\tũa\ta\tkumbina\tdi\twe\tuvôdô\tna\tose.,day\tone\tINDF\tagree\tof\tgo\tparty\tLOC\tsky,"One day, they agreed to go to a party in heaven.",,,
37-44,37,"N tê dôsu kasô fa, n tê kasô ũa.","N\ttê\tdôsu\tkasô\tfa,\tn\ttê\tkasô\tũa.",1SG\thave\ttwo\tdog\tNEG\t1SG\thave\tdog\tone,"I don't have two dogs, I have [only] one dog.",,,
38-50,38,wan moso,wan\tmoso,ART.SG\twoman,a woman,,,
38-51,38,úña,úña,one,one,,,
39-63,39,"Jacob ɛ ũ kɔb, el tə faze vɔs.","Jacob\tɛ\tũ\tkɔb,\tel\ttə\tfaz-e\tvɔs.",Jacob\tCOP.NPST\tone\tsnake\t3\tIPFV.NPST\tmake-INF\tvoice,"Jacob is a snake, he's imitating its voice.",,,
39-64,39,ũ irmã te i trey irmãw te.,ũ\tirmã\tte\ti\ttrey\tirmãw\tte.,one\tsister\thave.NPST\tand\tthree\tbrother\thave.NPST,(I) have got one sister and three brothers.,,,
40-38,40,Ti u͂ mat [...].,Ti\tu͂\tmat\t[...].,was\tone\tforest/woods\t[...],There was a forest [...].,,,
41-58,41,korsaampa uŋ gɔɔta alagriiya padaaley kum tambomley  mee noos  lopapiyaa,korsaam-pa\tuŋ\tgɔɔta\talagriiya\tpa-daa=ley\tkum\ttambom=ley\tmee\tnoos\tlo-papiyaa,heart-DAT\tone\tlittle\thappiness\tINF-give=like\tCONJ\texcellent=like\tFOC\t1PL\tFUT-speak,We just speak for the pleasure of it. OR: Consultant's translation: Without giving any trouble to the heart we shall just speak well.,,,
42-50,42,"eli ja olá ńgua mulé brangku mbés, se [...]","eli\tja\tolá\tńgua\tmulé\tbrangku\tmbés,\tse\t[...]",3SG\tPFV\tsee\tone\twoman\twhite\tvery\tknow\t[...],"He saw a woman who was very white, you know [...].",,,
42-51,42,"eli teng justu ńgua prau, ńgka dos prau","eli\tteng\tjustu\tńgua\tprau,\tńgka\tdos\tprau",3SG\thave\tjust\tone\tboat\tNEG\ttwo\tboat,"He has only one boat, not two boats.",,,
43-34,43,[...] dja chega nu unga sepultura.,[...]\tdja\tchega\tnu\tunga\tsepultura.,[...]\tPFV\tarrive\tLOC\tINDF.ART\ttomb,[...] [he] arrived at a tomb.,,,
44-59,44,"Tyéni yo tres kobéta, úna na arríba, úna na báho [...].","Tyéni\tyo\ttres\tkobéta,\túna\tna\tarríba,\túna\tna\tbáho\t[...].",have\t1SG\tthree\tpail\tone\tLOC\tup\tone\tLOC\tdown\t[...],"I have three toilets, one upstairs, one downstairs [...].",,,
44-60,44,dos íha i un íhu,dos\tíha\ti\tun\tíhu,two\tgirl\tand\tone\tboy,two girls and one boy,,,
45-50,45,Ya escribi yo un carta con mi amigo.,Ya\tescribi\tyo\tun\tcarta\tcon\tmi\tamigo.,PFV\twrite\t1SG\tINDF\tletter\tOBJ\tmy\tfriend,I wrote a letter to my friend.,,,
45-51,45,Caro ahora un litro de gasolina.,Caro\tahora\tun\tlitro\tde\tgasolina.,expensive\tnow\tINDF\tliter\tof\tgasoline,A/One liter of gasoline is expensive nowadays.,,,
45-91,45,Con un gente no mas ta sospecha el mga pulis.,Con\tun\tgente\tno\tmas\tta\tsospecha\tel\tmga\tpulis.,OBJ\tone\tperson\tNEG\tmore\tIPFV\tsuspect\tDEF\tPL\tpolice,The policemen suspect only one person.,,,
46-64,46,Ya-lyegá un ómbre na dimiyo kása.,Ya-lyegá\tun\tómbre\tna\tdimiyo\tkása.,PFV-arrive\ta\tman\tLOC\tmy\thouse,A man came to my house.,,,
46-65,46,"Tyéne yo kwatro anák, uno ómbre, tres muhér.","Tyéne\tyo\tkwatro\tanák,\tuno\tómbre,\ttres\tmuhér.",have\tI\tfour\tchildren\tone\tman\tthree\twoman,"I have four children, one son, three daughters.",,,
46-66,46,"Ya-mirá tu un muhér, kwátro ómbre.","Ya-mirá\ttu\tun\tmuhér,\tkwátro\tómbre.",PFV-see\tyou\tone\twoman\tfour\tmen,You saw one woman (and) four men.,,,
47-57,47,[...] i durante algun minüt a reina un silensio.,[...]\ti\tdurante\talgun\tminüt\ta\treina\tun\tsilensio.,[...]\tand\tduring\tsome\tminute\tPFV\treign\tINDF\tsilence,"[...] and for several minutes, there was silence.",,,
47-58,47,"un, dos, tres, kwater, sinku, seis, shete, ocho, nwebe, dies","un,\tdos,\ttres,\tkwater,\tsinku,\tseis,\tshete,\tocho,\tnwebe,\tdies",one\ttwo\tthree\tfour\tfive\tsix\tseven\teight\tnine\tten,"one, two, three, four, five, six, seven, eight, nine, ten",,,
49-80,49,M gen yon zanmi ki malad.,M\tgen\tyon\tzanmi\tki\tmalad.,1SG\thave\tINDF\tfriend\tREL\tsick,I have a friend who is sick.,,,
49-81,49,M pran youn ladan yo.,M\tpran\tyoun\tladan\tyo.,1SG\ttake\tone\tin\tDEF.3PL,I took one of them.,,,
49-100,49,en/in/on/yon - premye,en/in/on/yon\t-\tpremye,one\t-\tfirst,one - first,,,
49-102,49,"yon moun, de chen","yon\tmoun,\tde\tchen",one\tperson\ttwo\tdogs,"one person, two dogs",,,
50-50,50,on chyen,on\tchyen,one\tdog,a dog,,,
50-51,50,An ni on chyen.    vs.   An ni yonn.,An\tni\ton\tchyen.\tvs.\tAn\tni\tyonn.,1SG\thave\tINDF\tdog\tvs.\t1SG\thave\tone,I have a/one dog.    vs.     I have one.,,,
51-49,51,an chien,an\tchien,one\tdog,a dog,,,
51-50,51,Man ni an chien.   vs.   Man ni yonn.,Man\tni\tan\tchien.\tvs.\tMan\tni\tyonn.,1SG\thave\tINDF\tdog\tvs.\t1SG\thave\tNUM,I have a dog.   vs.   I have one.,,,
51-51,51,Konmen sa? An éwo.,Konmen\tsa?\tAn\téwo.,how.much\tthis\tone\teuro,How much does it cost? One euro.,,,
52-34,52,roun lougarou pasé,roun\tlougarou\tpasé,INDF\twerewolf\tpassed.by,A werewolf passed by.,,,
52-35,52,ayer mo wè oun tifiy,ayer\tmo\twè\toun\ttifiy,yesterday\tI\tsee\tART\tgirl,I saw a girl yesterday.,,,
53-102,53,en pov neg,en\tpov\tneg,ART.INDF\tpoor\tblack.man,a poor black man,,,
53-103,53,Ye monte onho en dan log-ye.,Ye\tmonte\tonho\ten\tdan\t<log>-ye.,3PL\tclimb\tonto\tART.INDF\tamong\tlog-ART.DEF.PL,They climbed onto one of the logs.,,,
54-66,54,"In bo zour lavé in vyé boug, [...].","En\tbo\tzour\tlave\ten\tvye\tboug,\t[...].",INDF\tgood\tday\thave.PST\tINDF\told\tman\t[...],"Once upon a time, there was an old man, [...].",,,
54-67,54,"[...] li manz enn, li donn son syin sakin enn.","[...]\tli\tmanz\tenn,\tli\tdonn\tson\tsyen\tsaken\tenn.",[...]\t3SG.FIN\teat\tone\t3SG.FIN\tgive\tPOSS.3SG\tdog\teach\tone,"[...] he eats one, he gives his dogs one each.",,,
54-222,54,Pandan in moi [...] zot i trap pa ryin.,Pandan\ten\tmwa\t[...]\tzot\ti\ttrap\tpa\tryen.,during\tINDF\tmonth\t[...]\t3PL\tFIN\tcatch\tNEG\tnothing,During one month [...] they catch nothing.,,,
55-52,55,en sát vs. én sát,en\tsát\tvs.\tén\tsát,a\tcat\tvs.\tone\tcat,a cat vs. one cat,,,
56-69,56,en sat,en\tsat,a/one\tcat,a cat,,,
56-70,56,Mon annan enn. vs. Mon annan en sat.,Mon\tannan\tenn.\tvs.\tMon\tannan\ten\tsat.,1SG\thave\tone\tvs.\t1SG\thave\tone\tcat,I have got one. vs. I have got one cat.,,,
57-36,57,na a loto pu mwa (selma),na\ta\tloto\tpu\tmwa\t(selma),EXIST\tone\tcar\tfor\tme\t(only),I have one car.,,,
58-40,58,mu-ntu mosi,mu-ntu\tmosi,CL1-person\tone,a person,,,
58-41,58,ba-ntu mosi,ba-ntu\tmosi,PL-person\tone,persons/people,,,
59-100,59,ala mu mbeni melenge (ti) wali oko,ala\tmu\tmbeni\tmelenge\t(ti)\twali\toko,3PL\ttake\ta\tchild\t(of)\tfemale\tone,They take a girl.,,,
59-101,59,i faa mbeni kota yaka,i\tfaa\tmbeni\tkota\tyaka,1PL\tcut\ta\tlarge\tgarden,We made a large garden.,,,
59-102,59,ala mu na i nginza mbeni pepe,ala\tmu\tna\ti\tnginza\tmbeni\tpepe,3PL\tgive\tPREP\t1PL\tmoney\tagain\tNEG,They don't give us money any more.,,,
59-103,59,ambeni avo karako,ambeni\tavo\tkarako,PL.some\tSM.buy\tpeanuts,Some buy peanuts.,,,
59-104,59,mbeni mbakoro wali aeke,mbeni\tmbakoro\twali\taeke,certain\told\twoman\tSM.COP,There was (once) a certain old woman.,,,
61-22,61,Buyisa muye spigil.,Buy-isa\tmuye\tspigil.,bring-CAUS\tone\tnail,Bring a nail.,,,
61-23,61,muye kati,muye\tkati,one\tcat,a cat / one cat,,,
63-51,63,fi nyerekú wáy kamán rúo ma bába t-o,fi\tnyerekú\twáy\tkamán\trúo\tma\tbába\tt-o,EXIST\tchild\tone\ttoo\tgo\twith\tfather\tGEN-his,There was also a child who went with his father.,,,
63-52,63,azól de já ma galamóyo,azól\tde\tjá\tma\tgalamóyo,man\tDEM\tcome\twith\tgoat,The man came with a goat.,,,
63-166,63,Núbi dé kabíla wáy bináfsu,Núbi\tdé\tkabíla\twáy\tbináfsu,Nubi\tDEM\ttribe\tone\titself,The Nubi themselves form one tribe.,,,
64-58,64,kan fi zol al gefétisu abúna tánna,kan\tfi\tzol\tal\tge=fétisu\tabúna\ttánna,ANT\tEXIST\tindividual\tREL\tPROG=looking.for\tpriest\tPOSS.1PL,There was a man looking for our priest.,,,
64-59,64,kan fi taríga,kan\tfi\ttaríga,if\tEXIST\tway,if there is a solution,,,
66-34,66,Pompanganak deppe     ummana   kumbang attu ekasi (aða).      Attusi duasi?,Pompang-anak\tde-pe\tumma-na\tkumbang\tattu\te-kasi\t(aða).\tAttu-si\tdua-si?,female-child\t3SG-POSS\tmother-DAT\tflower\tINDF\tASP-give\t(AUX)\tone-or\ttwo-or,The girl has given her mother a rose. One or two?,,,
67-69,67,Ada satu orang tua.,Ada\tsatu\torang\ttua.,exist\tone\tperson\told,There was an old man.,,,
67-70,67,Cinmai oh	myintin	dekat	ada	satu	tampat.,Cinmai\toh\tmyintin\tdekat\tada\tsatu\ttampat.,Chiang.Mai\tPCL\tMyanmar\tnear\thave\tone\tplace,Chiang Mai is a place near Myanmar.,,,
71-53,71,"Ahi kuai iaia $2.50 akahi omole, alua omole $5.00.","Ahi\tkuai\tiaia\t$2.50\takahi\tomole,\talua\tomole\t$5.00.",Ahi\tsell\t3SG\t$2.50\tone\tbottle\ttwo\tbottle\t$5.00,Ahi sold one bottle to him for $2.50 and two bottles for $5.00.,,,
72-55,72,An wan warlaku atsaid shopta im makin.,An\twan\twarlaku\tatsaid\tshop-ta\tim\tmakin.,and\ta\tdog\toutside\tshop-LOC\t3SG\tsleep,And a dog is outside the shop sleeping.,,,c6b41b35819e9c93f49c88cb0eac0bcb
73-41,73,uno musika,uno\tmusika,one\tmusic,a tune,,,
73-42,73,p'ítida ispirangi,p'íti-da\tispira-ngi,bit-ACC\twait-2SG,Wait a bit.,,,
74-44,74,latáb,latáb,table,"table, a table, the table, tables, the tables",,,
75-86,75,Peeyek piko aen naraanzh dayaawaaw.,Peeyek\tpiko\taen\tnaraanzh\tdayaaw-aaw.,one\tonly\tINDF.ART\torange\t1.have-3.ANIM.OBJ,I have just one orange.,,,
75-87,75,Maaka henn kiiwanihtaaw kaatapashiit.,Maaka\thenn\tkii-waniht-aaw\tkaa-tapashii-t.,but\tone\tPST-lost.INAN-3SG\tCOMP-flee-3SG,But she lost one when she fled.,,,
75-88,75,Aen zhwal ndaaweeyimaaw.,Aen\tzhwal\tn-daaweeyim-aaw.,INDF.ART.M\thorse\t1-need.ANIM-3.ANIM.OBJ,I need a horse.,,,
1-86,1,Sarki swali somma; a hali somma go na inni watra.,Sarki\tswari\tsoma;\ta\thari\tsoma\tgo\tna\tini\twatra.,shark\tswallow\tperson\t3SG.SBJ\tpull\tperson\tgo\tLOC\tin(side)\twater,(A) shark(s) swallow(s) people; it pulls people into the water.,,,
1-87,1,"Sikiman no musse jam, ma a musse dringi pappa.","Sikiman\tno\tmusu\tnyan,\tma\ta\tmusu\tdringi\tpapa.",sick.NMLZ\tNEG\tmust\teat\tbut\t3SG.SBJ\tmust\tdrink\tporridge,"A sick person should not eat, but s/he should drink porridge.",,,
1-88,1,"Paramakka no fütti Bakkra belle, a tranga tumussi: Ningre kann jam hem.","Paramaka\tno\tfiti\tbakra\tberi,\ta\ttranga\ttumusi:\tNengre\tkan\tnyan\ten.",paramaka\tNEG\tbe.fitting\twhite\tstomach\t3SG.SBJ\tbe.strong\texcessively\tblack\tcan\teat\t3SG,"Paramaka (fruit) is not good for European stomachs, it is too strong. Blacks can eat it.",,,
1-89,1,Dem retiwan no du ougrisanni.,Den\tretiwan\tno\tdu\togrisani.,DET.PL\tright.one\tNEG\tdo\tevil.thing,The righteous don't do harm.,,,
2-68,2,"Fowru e singi, dagu e bari.","Fowru\te\tsingi,\tdagu\te\tbari.",bird\tIPFV\tsing\tdog\tIPFV\tbark,"Birds sing, dogs bark.",,,
3-35,3,Dagu ta giita.,Dagu\tta\tgiita.,dog\tASP\tgrowl,Dogs growl.,,,
4-46,4,Nyamasu na wan fufuuman.,Nyamasu\tna\twan\tfufuuman.,vulture\tCOP\tone\tthief,The vulture is a thief.,,,
4-47,4,"A nyamasu, ne en na a basi fu sumee tingi sani.","A\tnyamasu,\tne\ten\tna\ta\tbasi\tfu\tsumee\ttingi\tsani.",DET.SG\tvulture\tFOC\tit\tCOP\tDET.SG\tboss\tfor\tsmell\tstink\tthing,The vulture is the leader in smelling stinking things.,,,
4-50,4,Alata e poli nyanyan.,Alata\te\tpoli\tnyanyan.,rat\tIPFV\tspoil\tfood,Rats spoil food.,,,
5-53,5,"kombain kot am, win am an ful am in bag","kombain\tkot\tam,\twin\tam\tan\tful\tam\tin\tbag",combined.harvester\tcut\t3SG.ACC\twinnow\t3SG.ACC\tand\tfull\t3SG.ACC\tin\tbag,"Combined harvesters cut it, winnow it and bag it. OR: Using combined harvesters, (we) cut, winnow and bag it (the rice).",,,
6-33,6,Marriage have teet.,Marriage\thave\tteet.,marriage\thave.3SG\tteeth,Marriage can bite / is a serious matter.,,,
7-81,7,wen kou ha kyaaf,wen\tkou\tha\tkyaaf,when\tcow\thave\tcalf,when a cow has a calf,,,
7-82,7,ants duhz bait,ants\tduhz\tbait,ants\tHAB\tbite,ants bite,,,
7-170,7,Daag an kyat naa liv god wid wan anoda.,Daag\tan\tkyat\tna-a\tliv\tgod\twid\twan\tanoda.,dog\tand\tcat\tNEG-PROG\tlive\tgood\twith\tone\tanother,Dogs and cats do not live well together.,,,
8-48,8,Mangguus nyam foul.,Mangguus\tnyam\tfoul.,mongoose\teat\tchicken,Mongooses eat chickens.,,,
