pk,jsondata,id,name,description,markup_description,date,version
40,,40,Korlai,"Korlai is a Portuguese-based creole spoken by the 780 inhabitants (2010 census) of the coastal village of Korlai, located about 150 km south of Mumbai in the state of Maharashtra. In this state, and the surrounding states of Gujarat and Karnataka, there is also a small diaspora of Korlai speakers. Korlai is used as the village language for all personal interaction. With the exception of a play written in the creole, Korlai is an oral language. In more formal contexts, Marathi (the regional language) is often used. Up to the early 1960s, Portuguese was the language of the church in Korlai. Around 1964, Marathi was introduced into the church liturgy and it has been the church language ever since. As more Korlai children are finishing high school (Marathi medium) and seeking employment outside of their tradition profession of agriculture, the influence of Marathi is becoming increasingly stronger. The default lect of Korlai described in APiCS is that of children and adult Korlai speakers whose speech was analyzed between 1986 and 2005.","Korlai is a Portuguese-based creole spoken by the 780 inhabitants (2010 census) of the coastal village of Korlai, located about 150 km south of Mumbai in the state of Maharashtra. In this state, and the surrounding states of Gujarat and Karnataka, there is also a small diaspora of Korlai speakers. Korlai is used as the village language for all personal interaction. With the exception of a play written in the creole, Korlai is an oral language. In more formal contexts, Marathi (the regional language) is often used. Up to the early 1960s, Portuguese was the language of the church in Korlai. Around 1964, Marathi was introduced into the church liturgy and it has been the church language ever since. As more Korlai children are finishing high school (Marathi medium) and seeking employment outside of their tradition profession of agriculture, the influence of Marathi is becoming increasingly stronger. The <span style=""font-weight: bold;"">default lect</span> of Korlai described in <span style=""font-style: italic;"">APiCS</span> is that of children and adult Korlai speakers whose speech was analyzed between 1986 and 2005.",,1
41,,41,Sri Lanka Portuguese,"Sri Lanka Portuguese is spoken by a dwindling number of the island’s Burgher ethnic group, descendants of unions between (primarily) Portuguese and Dutch men and local women.  Speakers are still found in the Tamil-dominant east coast towns of Batticaloa and Trincomalee.  The spoken varieties of these two towns exhibit only minor differences. Many of the South Asian characteristics of these varieties were also exhibited by speakers in the Sinhala-dominant region of the island. In addition, there existed a formal register displaying more European than South Asian morphosyntax. This register can be found in the 19th century literature, but by the 1970s, it was only poorly known by a very small number of speakers. Its origin is moot: was it a holdover of an earlier spoken variety or (my view) an artificial norm created by Anglophone missionaries, who began to use the language for evangelical purposes in the early 1800’s? The default lect documented in APiCS is the spoken variety of Batticaloa in the 1970s. Examples are taken mostly from my field notes of 1974-5.","Sri Lanka Portuguese is spoken by a dwindling number of the island’s <span style=""font-style: italic;"">Burgher</span> ethnic group, descendants of unions between (primarily) Portuguese and Dutch men and local women.  Speakers are still found in the Tamil-dominant east coast towns of Batticaloa and Trincomalee.  The spoken varieties of these two towns exhibit only minor differences. Many of the South Asian characteristics of these varieties were also exhibited by speakers in the Sinhala-dominant region of the island. In addition, there existed a formal register displaying more European than South Asian morphosyntax. This register can be found in the 19th century literature, but by the 1970s, it was only poorly known by a very small number of speakers. Its origin is moot: was it a holdover of an earlier spoken variety or (my view) an artificial norm created by Anglophone missionaries, who began to use the language for evangelical purposes in the early 1800’s? The default lect documented in <span style=""font-style: italic;"">APiCS </span>is the spoken variety of Batticaloa in the 1970s. Examples are taken mostly from my field notes of 1974-5.",,1
42,,42,Papiá Kristang,"Papiá Kristang is a Portuguese-based creole spoken by approximatey 800 people in Malacca, West Malaysia, and by smaller numbers of descendents of Malacca creoles in Kuala Lumpur and Singapore, and an unknown number who migrated to Australia (principally Perth), New Zealand and the United Kingdom in the second half of the 20th century. Its core speech community is in the Portuguese Settlement, a housing development established in the 1930s, in a coastal setting at the south of Malacca town, on land where only Kristangs are permitted to reside. Papiá Kristang is constantly used in this setting. It is overwhelmingly oral, although there have been a number of initiatives over the years to write the language and, currently, a voluntary vernacular school is operating in the Portuguese Settlement. The language today is under threat from a strong shift towards English within the creole community. The default lect described in APICS is that of the Portuguese Settlement, corresponding to the speech of people in the 50-80 year age range, who have provided recordings, and judgements on structures extracted from field recordings, at various times over three decades. While another lect of Papiá Kristang is reported to have existed in Malacca earlier in the 20th century, in the Trankera suburb of the town, this lect was not observable in the late 20th century.","Papiá Kristang is a Portuguese-based creole spoken by approximatey 800 people in Malacca, West Malaysia, and by smaller numbers of descendents of Malacca creoles in Kuala Lumpur and Singapore, and an unknown number who migrated to Australia (principally Perth), New Zealand and the United Kingdom in the second half of the 20th century. Its core speech community is in the Portuguese Settlement, a housing development established in the 1930s, in a coastal setting at the south of Malacca town, on land where only Kristangs are permitted to reside. Papiá Kristang is constantly used in this setting. It is overwhelmingly oral, although there have been a number of initiatives over the years to write the language and, currently, a voluntary vernacular school is operating in the Portuguese Settlement. The language today is under threat from a strong shift towards English within the creole community. The default lect described in <span style=""font-style: italic;"">APICS</span> is that of the Portuguese Settlement, corresponding to the speech of people in the 50-80 year age range, who have provided recordings, and judgements on structures extracted from field recordings, at various times over three decades. While another lect of Papiá Kristang is reported to have existed in Malacca earlier in the 20th century, in the Trankera suburb of the town, this lect was not observable in the late 20th century.",,1
67,,67,Singapore Bazaar Malay,"Singapore Bazaar Malay was spoken by fewer than 10,000 Singaporeans in the island state of Singapore in 2002-2004 when the research was carried out. This contact variety is under threat of extinction in the Singapore context as it has lost its former role as a lingua franca to English, especially among the younger generation. 

Consequently, Singapore Bazaar Malay speakers nowadays are mostly the elderly Singaporeans and some middle-aged Singaporeans who need to be in occupational contact with the older generation who do not speak English and with whom they do not share any common language other than this contact variety. It is used only orally, although it may occur in written form, for example, in the cartoons in Malay. This contact language is normally confined to market places, shop houses, hawker centres and wherever people with no other common language meet and have to communicate. 

Like other contact languages, Singapore Bazaar Malay is not a single unified variety with a multitude of variations corresponding to the speakers’ ethnic and linguistic background, age, education, exposure and frequency of use just to mention few. 

The default lect described in APiCS is that of elderly people and those middle-aged Singaporeans whose age ranged from 49 to 77 and who came from different ethnic backgrounds. Some of them were formerly immigrants who had been in Singapore for more than 30 years.","Singapore Bazaar Malay was spoken by fewer than 10,000 Singaporeans in the island state of Singapore in 2002-2004 when the research was carried out. This contact variety is under threat of extinction in the Singapore context as it has lost its former role as a lingua franca to English, especially among the younger generation. 

Consequently, Singapore Bazaar Malay speakers nowadays are mostly the elderly Singaporeans and some middle-aged Singaporeans who need to be in occupational contact with the older generation who do not speak English and with whom they do not share any common language other than this contact variety. It is used only orally, although it may occur in written form, for example, in the cartoons in Malay. This contact language is normally confined to market places, shop houses, hawker centres and wherever people with no other common language meet and have to communicate. 

Like other contact languages, Singapore Bazaar Malay is not a single unified variety with a multitude of variations corresponding to the speakers’ ethnic and linguistic background, age, education, exposure and frequency of use just to mention few. 

The default lect described in <span style=""font-style: italic;"">APiCS </span>is that of elderly people and those middle-aged Singaporeans whose age ranged from 49 to 77 and who came from different ethnic backgrounds. Some of them were formerly immigrants who had been in Singapore for more than 30 years.",,1
43,,43,Batavia Creole,"Batavia Creole is an extinct Portuguese-based creole once spoken in the city of Batavia (now Jakarta), on the island of Java (now Indonesia). Batavia Creole originated after 1619, the year when the Dutch occupied the city; the decline of the language started in the second half of the eighteenth century (when it started to be replaced by Malay), and the language was extinct by the end of the nineteenth century. Since the Portuguese never occupied Batavia, this creole must have been brought to Batavia from outside. Strong structural similarities point to Papiá Kristang spoken in Malacca as its source, but the language has also been influenced by southern Indo-Portuguese varieties. Note that from the first half of the seventeenth century onwards, both Malacca and Ceylon (now Sri Lanka) were occupied by the Dutch.

The default lect chosen for APiCS is based on one single written source: the Nieuwe Woordenschat, uyt het Nedertuitsch in het gemeene Maleidsch en Portugeesch, zeer gemakkelyk vor die eerst op Batavia komen (‘New vocabulary, From Dutch to Common Malay and Portuguese, very convenient for those coming to Batavia for the first time’), which was published in 1780 in Batavia. This source contains a narrative texts, dialogues, and about 1,400 lexical entries.

The other lect which is dealt with in APiCS, called Batavia Creole (Tugu), refers to Tugu Creole, which is an offshoot of Batavia Creole brought during the 1660 to Batavia’s hinterland by about 150 members of Batavia’s Portuguese community which were slaves who were freed and who were given land because they converted from Catholicism to Calvinism. Nowadays, the small village of Tugu is a neighbourhood of North Jakarta called Kampung Tugu. Tugu Creole became obsolete in the first half of the twentieth century. This Portuguese creole variety is characterized by a strong influence from spoken Malay at all levels of its grammar, an influence which is not that strong in Batavia Creole.","Batavia Creole is an extinct Portuguese-based creole once spoken in the city of Batavia (now Jakarta), on the island of Java (now Indonesia). Batavia Creole originated after 1619, the year when the Dutch occupied the city; the decline of the language started in the second half of the eighteenth century (when it started to be replaced by Malay), and the language was extinct by the end of the nineteenth century. Since the Portuguese never occupied Batavia, this creole must have been brought to Batavia from outside. Strong structural similarities point to Papiá Kristang spoken in Malacca as its source, but the language has also been influenced by southern Indo-Portuguese varieties. Note that from the first half of the seventeenth century onwards, both Malacca and Ceylon (now Sri Lanka) were occupied by the Dutch.

The <span style=""font-weight: bold;"">default lect</span> chosen for <span style=""font-style: italic;"">APiCS</span> is based on one single written source: the <span style=""font-style: italic;"">Nieuwe Woordenschat, uyt het Nedertuitsch in het gemeene Maleidsch en Portugeesch, zeer gemakkelyk vor die eerst op Batavia komen</span> (‘New vocabulary, From Dutch to Common Malay and Portuguese, very convenient for those coming to Batavia for the first time’), which was published in 1780 in Batavia. This source contains a narrative texts, dialogues, and about 1,400 lexical entries.

The other lect which is dealt with in <span style=""font-style: italic;"">APiCS</span>, called <span style=""font-weight: bold;"">Batavia Creole (Tugu)</span>, refers to Tugu Creole, which is an offshoot of Batavia Creole brought during the 1660 to Batavia’s hinterland by about 150 members of Batavia’s Portuguese community which were slaves who were freed and who were given land because they converted from Catholicism to Calvinism. Nowadays, the small village of Tugu is a neighbourhood of North Jakarta called Kampung Tugu. Tugu Creole became obsolete in the first half of the twentieth century. This Portuguese creole variety is characterized by a strong influence from spoken Malay at all levels of its grammar, an influence which is not that strong in Batavia Creole.",,1
44,,44,Ternate Chabacano,"Ternate Chabacano is spoken by some 3,000 people in the town of Ternate, Cavite province, Philippines. It is one of the Spanish contact varieties that are spoken in the Philippines and known collectively as Chabacano. There are also some diaspora speakers in the United States and other migrant worker destinations. Chabacano is a minority language in the town associated with the traditional local community. All the Chabacano speakers in Ternate are multilingual in Chabacano and Tagalog, as well as other languages. Trends in existing domains can be characterized as multilingualism with dwindling domains: Tagalog and English dominate in many communication contexts. Spanish is no longer commonly spoken in Ternate. Chabacano is mainly used at home and in the neighbourhoods together with Tagalog. Chabacano is not part of the school curriculum in Ternate, but some teachers of the first grades use Chabacano unofficially. Ternate Chabacano is a spoken variety and it is rather difficult to find written samples in printed media, but personal letters and new media are one domain where the written form of the language can be found. Chabacano is written in different ways by different age groups. The default lect chosen for description in APiCS is the speech of older Ternateños living in the central barangays or neighbourhoods of Ternate. The language of the younger speakers of Chabacano has especially been influenced by English and Tagalog. Examples are from a spoken language corpus collected in Ternate between 2003 and 2006. Examples from other, written sources are indicated in the dataset, mainly Nigoza’s (2007) collection of folk tales and legends.","Ternate Chabacano is spoken by some 3,000 people in the town of Ternate, Cavite province, Philippines. It is one of the Spanish contact varieties that are spoken in the Philippines and known collectively as Chabacano. There are also some diaspora speakers in the United States and other migrant worker destinations. Chabacano is a minority language in the town associated with the traditional local community. All the Chabacano speakers in Ternate are multilingual in Chabacano and Tagalog, as well as other languages. Trends in existing domains can be characterized as multilingualism with dwindling domains: Tagalog and English dominate in many communication contexts. Spanish is no longer commonly spoken in Ternate. Chabacano is mainly used at home and in the neighbourhoods together with Tagalog. Chabacano is not part of the school curriculum in Ternate, but some teachers of the first grades use Chabacano unofficially. Ternate Chabacano is a spoken variety and it is rather difficult to find written samples in printed media, but personal letters and new media are one domain where the written form of the language can be found. Chabacano is written in different ways by different age groups. The default lect chosen for description in <span style=""font-style: italic;"">APiCS </span>is the speech of older Ternateños living in the central<span style=""font-style: italic;""> barangays</span> or neighbourhoods of Ternate. The language of the younger speakers of Chabacano has especially been influenced by English and Tagalog. Examples are from a spoken language corpus collected in Ternate between 2003 and 2006. Examples from other, written sources are indicated in the dataset, mainly Nigoza’s (2007) collection of folk tales and legends.",,1
45,,45,Cavite Chabacano,"Cavite Chabacano is spoken in Cavite City, 35 kilometers southwest from Manila in the Philippines. It is one of the Spanish contact varieties that are spoken in the Philippines and known collectively as Chabacano. Cavite Chabacano is severely endangered, with less than 4,000 speakers in a city of 100,000. There are also some speakers in the United States and other migrant worker destinations. All speakers of Cavite Chabacano are bilingual in Chabacano and Tagalog and most are also fluent in English. The functional domains of Cavite Chabacano are highly restricted. It is mainly used at home and the majority of fluent speakers are of the grandparental generation or older. English and Filipino (based on Tagalog) are the national languages and are used in Cavite in the educational system, the media and in local communication. Spanish is no longer commonly spoken in Cavite City. Cavite City residents generally have a positive attitude toward Chabacano and there is no stigma associated with those who speak it, but socioeconomic conditions make learning English and Tagalog more favorable. Speakers of all socioeconomic backgrounds can still be found in different areas of the city, especially in the San Roque and Caridad districts. The default lect described in the database is almost entirely written Cavite Chabacano produced by language activists engaged in the promotion of the language. The examples are from literary sources and written elicitation collected between 2006-2010 in Cavite City. The study of sociolectal variation for Cavite Chabacano is ongoing and notes on variation are not included in the APiCS description.","Cavite Chabacano is spoken in Cavite City, 35 kilometers southwest from Manila in the Philippines. It is one of the Spanish contact varieties that are spoken in the Philippines and known collectively as Chabacano. Cavite Chabacano is severely endangered, with less than 4,000 speakers in a city of 100,000. There are also some speakers in the United States and other migrant worker destinations. All speakers of Cavite Chabacano are bilingual in Chabacano and Tagalog and most are also fluent in English. The functional domains of Cavite Chabacano are highly restricted. It is mainly used at home and the majority of fluent speakers are of the grandparental generation or older. English and Filipino (based on Tagalog) are the national languages and are used in Cavite in the educational system, the media and in local communication. Spanish is no longer commonly spoken in Cavite City. Cavite City residents generally have a positive attitude toward Chabacano and there is no stigma associated with those who speak it, but socioeconomic conditions make learning English and Tagalog more favorable. Speakers of all socioeconomic backgrounds can still be found in different areas of the city, especially in the San Roque and Caridad districts. The default lect described in the database is almost entirely written Cavite Chabacano produced by language activists engaged in the promotion of the language. The examples are from literary sources and written elicitation collected between 2006-2010 in Cavite City. The study of sociolectal variation for Cavite Chabacano is ongoing and notes on variation are not included in the <span style=""font-style: italic;"">APiCS</span> description.",,1
46,,46,Zamboanga Chabacano,"Zamboanga Chabacano (Zamboangueño) is a Spanish-based creole language spoken by around 450,000 people in the Republic of the Philippines in South-East Asia, and by an unknown number of diaspora speakers in Malaysia (Province of Sabah), the United States of America, Canada and elsewhere. Chabacano is the native language of about 50 per cent of the population of the city of Zamboanga and the surrounding area in the extreme western part of the island of Mindanao (approximately 300,000 speakers). A subvariety of Zamboanga Chabacano is also spoken in the town of Cotabato (Mindanao). The creole is also used here as a lingua franca by diverse ethno-linguistic groups. It is codified for public and private purposes with a Hispanic orthography mixed with English and Philippine traditions; there are Bible translations, literary writings, and until recently also press publications. Public oral use has recently been increasing in broadcasting and television, in church, and in some public schools. It lost some of its former significance to Philippine languages (Tagalog and Cebuano) and English.

The default lect that we chose for description in APiCS is roughly the speech of 20-40 year old people living in city of Zamboanga. Nearly all constructed examples are from different native speakers instructed for fieldwork on Chabacano at the Ateneo of Zamboanga. Examples which come from other lects/sources are indicated in the dataset: own fieldwork data (spontaneous speech) or sources from other authors (especially from Forman 1972). If these lects do not deviate from our default lect, examples from these sources are also cited under default lect. There are nearly no examples from the written lect which is partly very hispanicized (e.g. in the Bible translation).","Zamboanga Chabacano (Zamboangueño) is a Spanish-based creole language spoken by around 450,000 people in the Republic of the Philippines in South-East Asia, and by an unknown number of diaspora speakers in Malaysia (Province of Sabah), the United States of America, Canada and elsewhere. Chabacano is the native language of about 50 per cent of the population of the city of Zamboanga and the surrounding area in the extreme western part of the island of Mindanao (approximately 300,000 speakers). A subvariety of Zamboanga Chabacano is also spoken in the town of Cotabato (Mindanao). The creole is also used here as a lingua franca by diverse ethno-linguistic groups. It is codified for public and private purposes with a Hispanic orthography mixed with English and Philippine traditions; there are Bible translations, literary writings, and until recently also press publications. Public oral use has recently been increasing in broadcasting and television, in church, and in some public schools. It lost some of its former significance to Philippine languages (Tagalog and Cebuano) and English.

The <span style=""font-weight: bold;"">default lect</span> that we chose for description in <span style=""font-style: italic;"">APiCS </span>is roughly the speech of 20-40 year old people living in city of Zamboanga. Nearly all constructed examples are from different native speakers instructed for fieldwork on Chabacano at the Ateneo of Zamboanga. Examples which come from other lects/sources are indicated in the dataset: own fieldwork data (spontaneous speech) or sources from other authors (especially from Forman 1972). If these lects do not deviate from our default lect, examples from these sources are also cited under default lect. There are nearly no examples from the written lect which is partly very hispanicized (e.g. in the Bible translation).",,1
47,,47,Papiamentu,"Papiamentu is the first language of more than 70% of the populations of the ABC islands (Aruba, Bonaire and Curaçao), and has communities of speakers also in the Netherlands, St. Maarten, and elsewhere. It has official language status in Aruba since 2003, alongside Dutch. In the Netherlands Antilles, Papiamentu is an official language since 2007, alongside Dutch and English. With the dissolution of the Netherlands Antilles in 2010, the official status of Papiamentu was maintained.
Although speakers insist that there are significant differences between the varieties of Aruba and Curaçao, work on these varieties has only established minor differences. Similar claims have been made by urban Curaçaoan speakers about more rural varieties, but there is really no evidence to suggest that mutual intelligibility is in any way compromised.
Where there is a significant difference is in the spelling conventions adopted in the different islands: where Aruba opted to use an etymological spelling method, Curaçao and Bonaire adopted the phonemic system developed by the late Raul Römer. As a result, texts produced in the different islands are visually very different and easily give an impression of unintelligibility. In this description of Papiamentu, the orthography of examples has been normalized to Römer’s phonemic spelling system regardless of their original spelling. Unless an explicit indication is given of the island-origin of the data, examples and their discussion are to be interpreted to represent Papiamentu as spoken in any of the ABC islands.","Papiamentu is the first language of more than 70% of the populations of the ABC islands (Aruba, Bonaire and Curaçao), and has communities of speakers also in the Netherlands, St. Maarten, and elsewhere. It has official language status in Aruba since 2003, alongside Dutch. In the Netherlands Antilles, Papiamentu is an official language since 2007, alongside Dutch and English. With the dissolution of the Netherlands Antilles in 2010, the official status of Papiamentu was maintained.
Although speakers insist that there are significant differences between the varieties of Aruba and Curaçao, work on these varieties has only established minor differences. Similar claims have been made by urban Curaçaoan speakers about more rural varieties, but there is really no evidence to suggest that mutual intelligibility is in any way compromised.
Where there is a significant difference is in the spelling conventions adopted in the different islands: where Aruba opted to use an etymological spelling method, Curaçao and Bonaire adopted the phonemic system developed by the late Raul Römer. As a result, texts produced in the different islands are visually very different and easily give an impression of unintelligibility. In this description of Papiamentu, the orthography of examples has been normalized to Römer’s phonemic spelling system regardless of their original spelling. Unless an explicit indication is given of the island-origin of the data, examples and their discussion are to be interpreted to represent Papiamentu as spoken in any of the ABC islands.",,1
54,,54,Reunion Creole,"Reunion Creole is a French-based creole language spoken by about 90 percent of a population of more than 800,000 people on Reunion Island, a French Overseas Department, and by a considerable number of diaspora speakers in metropolitan France. Most speakers are bilingual in Creole and French, although some of them are ‘passive bilinguals’ who understand French, but only have a limited active command. The traditional situation of diglossia with Creole as the ‘low variety’ is gradually changing towards a “bilinguisme français–créole harmonieux”. Creole has been used by poets and novelists since the nineteenth century; in 2000 it gained official recognition as a regional language, and in 2002 it found its place in education as an optional subject in secondary schools. Reunion Creole is unique among French-based creoles in forming a continuum from basilect to acrolect, with intermediate fluctuating varieties. The default lect chosen for description in APiCS comprises basilectal varieties; variants from acrolectal varieties are occasionally mentioned. Data are taken from the Atlas linguistique et ethnographique de la Réunion (1984-1995), collected between 1975 and 1981 from mostly 40 to 80 year old speakers, as well as from recordings of extensive conversations and traditional stories made with some of the informants of the Atlas during field work.

Acknowledgements

I am very grateful to Axel Gauvin for providing detailed information on the sociolinguistic situation in Reunion and on the extremely complex lectal variation which characterizes Reunion Creole.","Reunion Creole is a French-based creole language spoken by about 90 percent of a population of more than 800,000 people on Reunion Island, a French Overseas Department, and by a considerable number of diaspora speakers in metropolitan France. Most speakers are bilingual in Creole and French, although some of them are ‘passive bilinguals’ who understand French, but only have a limited active command. The traditional situation of diglossia with Creole as the ‘low variety’ is gradually changing towards a “bilinguisme français–créole harmonieux”. Creole has been used by poets and novelists since the nineteenth century; in 2000 it gained official recognition as a regional language, and in 2002 it found its place in education as an optional subject in secondary schools. Reunion Creole is unique among French-based creoles in forming a continuum from basilect to acrolect, with intermediate fluctuating varieties. The <span style=""font-weight: bold;"">default lect</span> chosen for description in <span style=""font-style: italic;"">APiCS</span> comprises basilectal varieties; variants from acrolectal varieties are<span style=""font-weight: bold; font-style: italic;""> </span>occasionally mentioned. Data are taken from the<span style=""font-style: italic;""> Atlas linguistique et ethnographique de la Réunion</span> (1984-1995), collected between 1975 and 1981 from mostly 40 to 80 year old speakers, as well as from recordings of extensive conversations and traditional stories made with some of the informants of the <span style=""font-style: italic;"">Atlas</span> during field work.

<span style=""font-weight: bold;"">Acknowledgements
</span>
I am very grateful to Axel Gauvin for providing detailed information on the sociolinguistic situation in Reunion and on the extremely complex lectal variation which characterizes Reunion Creole.",,1
48,,48,Palenquero,"Palenquero (“Lengua”) is used actively on a daily basis only in the village of Palenque (also known as San Basilio de Palenque), where it co-exists with Caribbean Spanish. Prior to its recent revival (around the year 2000), the creole was generally shunned by younger generations. Occasionally, Palenquero can also be heard in the nearby city of Cartagena, and the more distant Barranquilla, where about half of the total population of Palenqueros have been residing for many decades. To date, Palenquero remains a mostly oral language. Written Palenquero (used locally in school) has emerged during this millennium; agreed upon spelling conventions do not exist yet.

Traditionally, Palenquero tended to be confined to in-group situations, so much so that the language was generally not spoken in front of outsiders. Around the year 2000, changing local and regional attitudes began to reduce the heavy stigma once attached to Lengua, and as a result Palenqueros now feel far more comfortable speaking their local lect in front of outsiders (the recent fame of Palenque has generated a substantial amount of local academic tourism —both national and international—, which has greatly increased contact with the outside world).

As argued in Schwegler (2001), prior to the year 2000, in Palenque there used to be no apparent lectal differences (basilect, mesolect or acrolect). In this small speech community, old and young bilinguals employed a virtually identical creole grammar, that is, there was no continuum, no “in-between” in terms of lects. This situation appears to have changed since then, as some of the younger generations may be employing a somewhat restructured variety of the creole as their main lect. However, to date no extensive study of current Palenquero has been undertaken (but see Lipski 2012), and it remains to be seen whether the recent adaptations by Palenquero youths will stabilize and have a long-lasting effect. The Palenquero data collected for the APiCS (default lect) are all from the traditional (older) lect.","Palenquero (“Lengua”) is used actively on a daily basis only in the village of Palenque (also known as San Basilio de Palenque), where it co-exists with Caribbean Spanish. Prior to its recent revival (around the year 2000), the creole was generally shunned by younger generations. Occasionally, Palenquero can also be heard in the nearby city of Cartagena, and the more distant Barranquilla, where about half of the total population of Palenqueros have been residing for many decades. To date, Palenquero remains a mostly oral language. Written Palenquero (used locally in school) has emerged during this millennium; agreed upon spelling conventions do not exist yet.

Traditionally, Palenquero tended to be confined to in-group situations, so much so that the language was generally not spoken in front of outsiders. Around the year 2000, changing local and regional attitudes began to reduce the heavy stigma once attached to <span style=""font-style: italic;"">Lengua, </span>and as a result Palenqueros now feel far more comfortable speaking their local lect in front of outsiders (the recent fame of Palenque has generated a substantial amount of local academic tourism —both national and international—, which has greatly increased contact with the outside world).

As argued in Schwegler (2001), prior to the year 2000, in Palenque there used to be no apparent lectal differences (basilect, mesolect or acrolect). In this small speech community, old and young bilinguals employed a virtually identical creole grammar, that is, there was no continuum, no “in-between” in terms of lects. This situation appears to have changed since then, as some of the younger generations may be employing a somewhat restructured variety of the creole as their main lect. However, to date no extensive study of current Palenquero has been undertaken (but see Lipski 2012), and it remains to be seen whether the recent adaptations by Palenquero youths will stabilize and have a long-lasting effect. The Palenquero data collected for the <span style=""font-style: italic;"">APiCS</span> (default lect) are all from the traditional (older) lect.",,1
49,,49,Haitian Creole,"Haitian Creole is a French-based creole spoken by about 9.5 million people in Haiti. It is the creole language with the largest number of speakers worldwide. While all Haitians speak Creole, only a minority of the population (about 7%) are bilingual and also speak French. It is difficult to estimate the precise number of speakers among Haitians living in diaspora communities, i.e. the about 2 million people that emigrated mainly to the USA, Canada (Québec), Dominican Republic and French Overseas territories (Lesser Antilles, Guiana). 

The Haitian Constitution of 1987 granted Haitian Creole the status of an official language next to French (official language since 1918). The language of the schools had long been exclusively in French, but opened up to Creole from 1979 onwards. In that year an official phonologically based orthography was implemented for Haitian Creole. In the following the Creole was used in an increasing number of domains and in the mass media (especially radio and internet).	

The Creole of rural monolinguals that is used all over Haiti was documented in a linguistic atlas (Fattier 1998). The global description of each variety allows us to distinguish the forms that are specific to each variety from those that are common to all dialects. It is the forms that are “common to all dialects” that represent the default lect described in APiCS. Additionally we have occasionally noted some specific forms while clearly marking the geographic variety they represent.","Haitian Creole is a French-based creole spoken by about 9.5 million people in Haiti. It is the creole language with the largest number of speakers worldwide. While all Haitians speak Creole, only a minority of the population (about 7%) are bilingual and also speak French. It is difficult to estimate the precise number of speakers among Haitians living in diaspora communities, i.e. the about 2 million people that emigrated mainly to the USA, Canada (Québec), Dominican Republic and French Overseas territories (Lesser Antilles, Guiana). 

The Haitian Constitution of 1987 granted Haitian Creole the status of an official language next to French (official language since 1918). The language of the schools had long been exclusively in French, but opened up to Creole from 1979 onwards. In that year an official phonologically based orthography was implemented for Haitian Creole. In the following the Creole was used in an increasing number of domains and in the mass media (especially radio and internet).	

The Creole of rural monolinguals that is used all over Haiti was documented in a linguistic atlas (Fattier 1998). The global description of each variety allows us to distinguish the forms that are specific to each variety from those that are common to all dialects. It is the forms that are “common to all dialects” that represent the default lect described in <span style=""font-style: italic;"">APiCS</span>. Additionally we have occasionally noted some specific forms while clearly marking the geographic variety they represent.",,1
50,,50,Guadeloupean Creole,"Guadeloupean Creole is spoken by some 400,000 people in Guadeloupe, and approximately 200,000 diaspora speakers mainly established in France, French Guiana, Montreal and Panama. Guadeloupean Creole is widely spoken throughout the different islands of the archipelago and is used in a variety of situations, ranging from the less to the more formal. Although it is not systematically used in formal speech situations, the use of the language has been increasing since the identity claim movement that grew in the 1980s, to the extent that the local authorities are now designing a set of measures to promote and enhance the use of Creole in all spheres of activity of the Guadeloupean society. The default lect for Guadeloupean Creole represented in the Atlas is a quite homogeneous variety spoken by 30-60 year old speakers and is close to the basilect. Most examples are constructed by the authors (Serge Colot being a native speaker), and some examples are from written sources taken from the most up-to-date body of scientific literature available on the Lesser Antillean Creoles.","Guadeloupean Creole is spoken by some 400,000 people in Guadeloupe, and approximately 200,000 diaspora speakers mainly established in France, French Guiana, Montreal and Panama. Guadeloupean Creole is widely spoken throughout the different islands of the archipelago and is used in a variety of situations, ranging from the less to the more formal. Although it is not systematically used in formal speech situations, the use of the language has been increasing since the identity claim movement that grew in the 1980s, to the extent that the local authorities are now designing a set of measures to promote and enhance the use of Creole in all spheres of activity of the Guadeloupean society. The default lect for Guadeloupean Creole represented in the Atlas is a quite homogeneous variety spoken by 30-60 year old speakers and is close to the basilect. Most examples are constructed by the authors (Serge Colot being a native speaker), and some examples are from written sources taken from the most up-to-date body of scientific literature available on the Lesser Antillean Creoles.",,1
