pk,jsondata,id,description,markup_description,language_pk,parameter_pk,contribution_pk,source,version
7821,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-6,,,43,7,43,,1
7822,"{""wals_value_number"": 1, ""icon"": ""pie-100-FF0000.png""}",43-7,,,43,8,43,,1
7823,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-8,,,43,9,43,,1
7824,"{""wals_value_number"": 3, ""icon"": ""pie-50-FFFF00-50-800080.png""}",1431-8,,,77,9,43,,1
7825,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-9,The definite article corresponds to the distal demonstrative.,The definite article corresponds to the distal demonstrative.,43,10,43,,1
7826,"{""_number_of_values"": 2, ""icon"": ""pie-50-FFFF00-50-800080.png""}",1431-9,"Example 15 in Value 1 illustrates the use of aka in an associative context, and generic context, and example 14 in Value 2 shows the use of aka in a generic context.
Note that the use of aka is not obligatory.","Example 15 in Value 1 illustrates the use of <span style=""font-style: italic;"">aka</span> in an associative context, and generic context, and example 14 in Value 2 shows the use of <span style=""font-style: italic;"">aka</span> in a generic context.
Note that the use of <span style=""font-style: italic;"">aka</span> is not obligatory.",77,10,43,,1
7827,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-10,,,43,11,43,,1
7828,"{""wals_value_number"": 1, ""icon"": ""pie-80-FF0000-20-0000FF.png""}",43-12,,,43,13,43,,1
7829,"{""wals_value_number"": 3, ""icon"": ""pie-100-FF0000.png""}",43-13,,,43,14,43,,1
7897,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-86,,,43,87,43,,1
7830,"{""wals_value_number"": 3, ""icon"": ""pie-100-FFFFFF.png""}",43-15,"Although two forms for the 1st person plural coexist (nos vs. nosotër), they do not seem to match the Indonesian opposition between kami (exclusive) and kita (inclusive). Only in one source for Tugu is nos translated by kita (inclusive) and nosotër by kami (exclusive), but these examples are out of context.","Although two forms for the 1st person plural coexist (<span style=""font-style: italic;"">nos</span> vs. <span style=""font-style: italic;"">nosotër</span>), they do not seem to match the Indonesian opposition between <span style=""font-style: italic;"">kami</span> (exclusive) and <span style=""font-style: italic;"">kita</span> (inclusive). Only in one source for Tugu is <span style=""font-style: italic;"">nos</span> translated by <span style=""font-style: italic;"">kita</span> (inclusive) and <span style=""font-style: italic;"">nosotër</span> by <span style=""font-style: italic;"">kami</span> (exclusive), but these examples are out of context.",43,16,43,,1
7831,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",43-16,"In Batavia, there is no syncretism in independent personal pronouns, but in Tugu, there is number syncretism (ele is used for third person singular and plural - Batavia has ile (sg.) vs. ilotër (pl.)).","In Batavia, there is no syncretism in independent personal pronouns, but in Tugu, there is number syncretism (<span style=""font-style: italic;"">ele</span> is used for third person singular and plural - Batavia has <span style=""font-style: italic;"">ile</span> (sg.) vs. <span style=""font-style: italic;"">ilotër</span> (pl.)).",43,17,43,,1
7832,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF7F00.png""}",43-19,"There is no example of 'who' in the Batavia corpus; Tugu has the single-word expression keng.
In the Batavia corpus, kilay (literally ki lay 'what sort') is always written in one word; an allomorph klay is also used. This allomorph shows that, in spite of lay 'sort' being used independently of kilay, this interrogative pronoun was on its way to become, synchronically, a single-word expression.","There is no example of 'who' in the Batavia corpus; Tugu has the single-word expression <span style=""font-style: italic;"">keng</span>.
In the Batavia corpus, <span style=""font-style: italic;"">kilay</span> (literally<span style=""font-style: italic;""> ki lay</span> 'what sort') is always written in one word; an allomorph <span style=""font-style: italic;"">klay</span> is also used. This allomorph shows that, in spite of <span style=""font-style: italic;"">lay</span> 'sort' being used independently of <span style=""font-style: italic;"">kilay</span>, this interrogative pronoun was on its way to become, synchronically, a single-word expression.",43,20,43,,1
7833,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",43-21,"In the Batavia corpus, there are no negative indefinite pronouns, but an example can be found in Tugu; see the record for Tugu under ""More lects"".","In the Batavia corpus, there are no negative indefinite pronouns, but an example can be found in Tugu; see the record for Tugu under ""More lects"".",43,22,43,,1
7834,"{""wals_value_number"": 1, ""icon"": ""pie-100-0000FF.png""}",1431-21,"In the Tugu corpus, there is no positive indefinite, in contrast to the Batavia corpus, where there are examples of positive indefinites, but not of negated ones; see the record for Batavia ('my default lect') under ""More lects"".","In the Tugu corpus, there is no positive indefinite, in contrast to the Batavia corpus, where there are examples of positive indefinites, but not of negated ones; see the record for Batavia ('my default lect') under ""More lects"".",77,22,43,,1
7835,"{""wals_value_number"": 4, ""icon"": ""pie-100-FF7F00.png""}",43-22,The marking of the plural is not obligatory. It is not clear to me whether there are rules for the occurrence of the plural or not.,The marking of the plural is not obligatory. It is not clear to me whether there are rules for the occurrence of the plural or not.,43,23,43,,1
7836,"{""wals_value_number"": 5, ""icon"": ""pie-100-800080.png""}",43-23,"The reduplication can be partial, as in fil filu 'children' or total as in fruta fruta 'fruit'. Plural marking is not obligatory.","The reduplication can be partial, as in <span style=""font-style: italic;"">fil filu</span> 'children' or total as in <span style=""font-style: italic;"">fruta fruta</span> 'fruit'. Plural marking is not obligatory.",43,24,43,Own knowledge,1
7837,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-25,,,43,26,43,,1
7840,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFFF00.png""}",1431-28,"Example 14 illustrates the use of aka in a generic context, and Example 15 shows the use of aka in an associative context.","Example 14 illustrates the use of <span style=""font-style: italic;"">aka</span> in a generic context, and Example 15 shows the use of <span style=""font-style: italic;"">aka</span> in an associative context.",77,29,43,,1
7841,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFFF00.png""}",43-29,,,43,30,43,,1
7842,"{""_number_of_values"": 1, ""icon"": ""pie-100-964B00.png""}",43-30,"In Batavia Creole, there is only one example for generic noun phrases in subject function; in Tugu Creole, there are some more examples, with other values.","In Batavia Creole, there is only one example for generic noun phrases in subject function; in Tugu Creole, there are some more examples, with other values.",43,31,43,,1
7843,"{""_number_of_values"": 2, ""icon"": ""pie-70-FF0000-30-0000FF.png""}",1431-30,,,77,31,43,,1
7844,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-31,,,43,32,43,,1
7845,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",1431-31,,,77,32,43,,1
7846,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-32,,,43,33,43,,1
7847,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFFF00.png""}",43-33,,,43,34,43,,1
7848,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",1431-34,,,77,35,43,,1
7849,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFFFF.png""}",43-36,It is highly improbable that there are numeral classifiers; all examples in the corpus containing numerals lack classifiers.,It is highly improbable that there are numeral classifiers; all examples in the corpus containing numerals lack classifiers.,43,37,43,Own knowledge,1
8000,"{""wals_value_number"": 5, ""icon"": ""pie-100-FF0000.png""}",9-77,Had and gat both indicate possession.,"<span style=""font-style: italic;"">Had</span> and <span style=""font-style: italic;"">gat</span> both indicate possession.",9,78,9,,1
7850,"{""_number_of_values"": 2, ""icon"": ""pie-30-FF0000-70-FFB6C1.png""}",43-37,"There are several examples of a linking element following the possessor, as in vose sua 'your (sg.)', nosotër sua 'our' or ilotër sua 'their', which synchronically has to be treated as a postposition.
Etymologically, sua goes back to Portuguese, where it corresponds to the feminine adnominal possessor of the 3rd person singular ('her').","There are several examples of a linking element following the possessor, as in <span style=""font-style: italic;"">vose sua</span> 'your (sg.)', <span style=""font-style: italic;"">nosotër sua</span> 'our' or <span style=""font-style: italic;"">ilotër sua</span> 'their', which synchronically has to be treated as a postposition.
Etymologically, <span style=""font-style: italic;"">sua</span> goes back to Portuguese, where it corresponds to the feminine adnominal possessor of the 3rd person singular ('her').",43,38,43,,1
7851,"{""wals_value_number"": 1, ""icon"": ""pie-30-0000FF-70-FF0000.png""}",43-38,"In Tugu, the possessor often has no marking (see Tugu lect).","In Tugu, the possessor often has no marking (see Tugu lect).",43,39,43,,1
7852,"{""wals_value_number"": 4, ""icon"": ""pie-10-0000FF-90-FFFFFF.png""}",1431-38,,,77,39,43,,1
7853,"{""_number_of_values"": 2, ""icon"": ""pie-50-FFFF00-50-FFB6C1.png""}",43-39,"In the corpus, there is only one example in context, so there could have been other values existing in the language.","In the corpus, there is only one example in context, so there could have been other values existing in the language.",43,40,43,,1
7854,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",43-40,There are no examples of gender agreement in the corpus.,There are no examples of gender agreement in the corpus.,43,41,43,,1
7855,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-41,"In the corpus, there is no example where the standard of comparison is present; therefore I give an example without standard. I do not think that there is a difference in comparative adjective marking with or without standard; see the Tugu example in Feature 42 ""Comparative standard marking"" where the standard is present and where the adjective is marked by mas 'more', as in Example 51 in this feature.","In the corpus, there is no example where the standard of comparison is present; therefore I give an example without standard. I do not think that there is a difference in comparative adjective marking with or without standard; see the Tugu example in Feature 42 ""Comparative standard marking"" where the standard is present and where the adjective is marked by <span style=""font-style: italic;"">mas</span> 'more', as in Example 51 in this feature.",43,42,43,,1
7856,"{""wals_value_number"": 1, ""icon"": ""pie-100-0000FF.png""}",1431-42,"The ablative preposition dari, which marks the standard in Tugu, is of Malay origin.","The ablative preposition <span style=""font-style: italic;"">dari</span>, which marks the standard in Tugu, is of Malay origin.",77,43,43,,1
7857,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-43,,,43,44,43,,1
7858,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",43-44,,,43,45,43,,1
7859,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",43-45,,,43,46,43,,1
7860,"{""_number_of_values"": 1, ""icon"": ""pie-100-964B00.png""}",43-47,"Batavia sta/ste is a general imperfective marker which also refers to past imperfective situations. It does not seem to be obligatory, because there are examples of unmarked verbs that refer to progressive and habitual/generic situations.","Batavia <span style=""font-style: italic;"">sta/ste</span> is a general imperfective marker which also refers to past imperfective situations. It does not seem to be obligatory, because there are examples of unmarked verbs that refer to progressive and habitual/generic situations.",43,48,43,,1
7861,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-48,"The unmarked verb may also refer to habitual situations, but it may also refer to future and perfective situations.","The unmarked verb may also refer to habitual situations, but it may also refer to future and perfective situations.",43,49,43,,1
7881,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",43-72,,,43,73,43,,1
7882,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFB6C1.png""}",43-73,"In Batavia, the absence of copula with predicative noun phrases is rare.","In Batavia, the absence of copula with predicative noun phrases is rare.",43,74,43,,1
7862,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-49,"As mentioned in Feature 47 ""Uses of the progressive marker"" and 48 ""Uses of the habitual marker"", the tense and aspect markers are not obligatory.
The progressive marker ste may refer to present or past progressive situations, according to the context.","As mentioned in Feature 47 ""Uses of the progressive marker"" and 48 ""Uses of the habitual marker"", the tense and aspect markers are not obligatory.
The progressive marker <span style=""font-style: italic;"">ste</span> may refer to present or past progressive situations, according to the context.",43,50,43,,1
7863,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-50,"Since Batavia Creole is an extinct language, it is impossible to establish whether the imperfective and the perfective aspect markers (sta/ste and dja) may occur in negated sentences or not, although in the corpus no combinations of the negator with the two aspect markers occur.
In Papiá Kristang, a language closely related to Batavia Creole, there are two different markers for future and the negator may not co-occur with the perfective and imperfective aspect marker, so maybe Batavia Creole had value 4 instead of value 3.","Since Batavia Creole is an extinct language, it is impossible to establish whether the imperfective and the perfective aspect markers (<span style=""font-style: italic;"">sta/ste</span> and <span style=""font-style: italic;"">dja</span>) may occur in negated sentences or not, although in the corpus no combinations of the negator with the two aspect markers occur.
In Papiá Kristang, a language closely related to Batavia Creole, there are two different markers for future and the negator may not co-occur with the perfective and imperfective aspect marker, so maybe Batavia Creole had value 4 instead of value 3.",43,51,43,,1
7864,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-51,"Tense and aspect marking in Batavia Creole is optional, as Example 63 shows. In this example, the unmarked verbs refer to a past perfective situation. Some stative verbs like teng 'have, be' are zero-marked for non-future reference.","Tense and aspect marking in Batavia Creole is optional, as Example 63 shows. In this example, the unmarked verbs refer to a past perfective situation. Some stative verbs like teng 'have, be' are zero-marked for non-future reference.",43,52,43,,1
7865,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",43-52,,,43,53,43,,1
7866,"{""wals_value_number"": 4, ""icon"": ""pie-100-FFFFFF.png""}",43-54,,,43,55,43,Own knowledge,1
8049,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",28-6,,,28,7,28,,1
7867,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-55,"There is an ability verb in Batavia, but it is impossible to say whether it can express epistemic possibility.
In the corpus, there is no example for the participant-internal ability usage.","There is an ability verb in Batavia, but it is impossible to say whether it can express epistemic possibility.
In the corpus, there is no example for the participant-internal ability usage.",43,56,43,,1
7868,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",1431-56,"The prohibitive numiste correspond to the negated verb miste 'need, have to'.
Notice that there is some morphologic variation in the negator of modal verbs (nungsabe vs. nungku sabe 'don't know'; nungkere vs. ningkere 'don't want', etc.).","The prohibitive <span style=""font-style: italic;"">numiste</span> correspond to the negated verb <span style=""font-style: italic;"">miste</span> 'need, have to'.
Notice that there is some morphologic variation in the negator of modal verbs (<span style=""font-style: italic;"">nungsabe</span> vs. <span style=""font-style: italic;"">nungku</span> <span style=""font-style: italic;"">sabe</span> 'don't know'; <span style=""font-style: italic;"">nungkere </span>vs. <span style=""font-style: italic;"">ningkere</span> 'don't want', etc.).",77,57,43,,1
7869,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-57,"The marking of the object is not obligatory with human nouns; with animate non-human and non-animate nouns, there is no example of object marking in the corpus.","The marking of the object is not obligatory with human nouns; with animate non-human and non-animate nouns, there is no example of object marking in the corpus.",43,58,43,,1
7870,"{""wals_value_number"": 2, ""icon"": ""pie-100-0000FF.png""}",43-58,Batavia has differential object marking. Human nouns tend to be marked - as in Example 68 - but they may also be left unmarked. Nonhuman animate and inanimate nouns are always unmarked.,Batavia has differential object marking. Human nouns tend to be marked - as in Example 68 - but they may also be left unmarked. Nonhuman animate and inanimate nouns are always unmarked.,43,59,43,,1
7871,"{""wals_value_number"": 2, ""icon"": ""pie-100-0000FF.png""}",43-59,There are two object markers in the corpus: kung and per. It is not clear to me whether they could be used with all persons or whether there were some restrictions.,"There are two object markers in the corpus: <span style=""font-style: italic;"">kung</span> and <span style=""font-style: italic;"">per</span>. It is not clear to me whether they could be used with all persons or whether there were some restrictions.",43,60,43,,1
7872,"{""wals_value_number"": 1, ""icon"": ""pie-100-FF0000.png""}",43-60,"There is no example of a full recipient noun phrase in the corpus, therefore I give an example of a recipient pronoun.","There is no example of a full recipient noun phrase in the corpus, therefore I give an example of a recipient pronoun.",43,61,43,,1
7873,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-61,"There is no example of a full recipient noun phrase in the corpus, therefore I give an example of a recipient pronoun.","There is no example of a full recipient noun phrase in the corpus, therefore I give an example of a recipient pronoun.",43,62,43,,1
7874,"{""wals_value_number"": 5, ""icon"": ""pie-100-0000FF.png""}",43-62,,,43,63,43,,1
7875,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-64,,,43,65,43,,1
7876,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF7F00.png""}",43-68,,,43,69,43,,1
7877,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-69,"In the Tugu variety, the instrumental may also be realized by a noun phrase.","In the Tugu variety, the instrumental may also be realized by a noun phrase.",43,70,43,,1
7878,"{""_number_of_values"": 2, ""icon"": ""pie-70-0000FF-30-FFFFFF.png""}",1431-69,,,77,70,43,,1
7879,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-70,,,43,71,43,,1
7880,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFFF00.png""}",43-71,,,43,72,43,,1
7883,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFB6C1.png""}",1431-73,"In Tugu, the absence of copula with predicative noun phrases is frequent.","In Tugu, the absence of copula with predicative noun phrases is frequent.",77,74,43,,1
7884,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-74,,,43,75,43,,1
7885,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",1431-74,,,77,75,43,,1
7886,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-75,,,43,76,43,,1
7887,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",1431-75,,,77,76,43,,1
7888,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFFF00.png""}",43-76,,,43,77,43,,1
7889,"{""wals_value_number"": 2, ""icon"": ""pie-100-FFFF00.png""}",1431-76,,,77,77,43,,1
7890,"{""wals_value_number"": 5, ""icon"": ""pie-100-FF0000.png""}",43-77,The verb teng (< Portuguese tem 'he/she has') is also used as a copula in both Batavia and Tugu.,"The verb <span style=""font-style: italic;"">teng</span> (&lt; Portuguese <span style=""font-style: italic;"">tem</span> 'he/she has') is also used as a copula in both Batavia and Tugu.",43,78,43,,1
7891,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-78,,,43,79,43,,1
7892,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-81,,,43,82,43,,1
7893,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-79,,,43,80,43,,1
7894,"{""_number_of_values"": 2, ""icon"": ""pie-50-FFFFFF-50-FF0000.png""}",1431-79,,,77,80,43,,1
7895,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-80,,,43,81,43,,1
7896,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-85,There is only one example in the Batavia corpus.,There is only one example in the Batavia corpus.,43,86,43,,1
7898,"{""_number_of_values"": 2, ""icon"": ""pie-50-FF0000-50-FFFF00.png""}",43-87,"In the Batavia corpus, there are examples for typically reflexive verbs like 'to wash' and also for the reflexives asked for in this feature. The examples of the Batavia corpus show that these two categories behave differently ('body' vs. 'oneself'). It is not possible to find out whether this is a general rule.","In the Batavia corpus, there are examples for typically reflexive verbs like 'to wash' and also for the reflexives asked for in this feature. The examples of the Batavia corpus show that these two categories behave differently ('body' vs. 'oneself'). It is not possible to find out whether this is a general rule.",43,88,43,,1
7899,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",43-89,,,43,90,43,,1
7900,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",43-90,"There is no prototypical passive in the Batavia corpus; in Example 107, the patient occurs in subject position, but there are no examples which contain an agent.
The Tugu variety, however, possesses a prototypical passive construction.","There is no prototypical passive in the Batavia corpus; in Example 107, the patient occurs in subject position, but there are no examples which contain an agent.
The Tugu variety, however, possesses a prototypical passive construction.",43,91,43,,1
7901,"{""_number_of_values"": 2, ""icon"": ""pie-50-FF0000-50-FFFF00.png""}",1431-90,"In the Tugu corpus, there are examples with an overt agent for the two values. In the example for a prototypical passive (Value 1), the agent NP is headed by the preposition di 'of', and in the non-prototypical passive example (Value 3), the agent noun is marked by the preposition ku 'with'.","In the Tugu corpus, there are examples with an overt agent for the two values. In the example for a prototypical passive (Value 1), the agent NP is headed by the preposition <span style=""font-style: italic;"">di</span> 'of', and in the non-prototypical passive example (Value 3), the agent noun is marked by the preposition <span style=""font-style: italic;"">ku</span> 'with'.",77,91,43,,1
7902,"{""wals_value_number"": 4, ""icon"": ""pie-100-FF0000.png""}",43-92,,,43,93,43,,1
7903,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-93,,,43,94,43,,1
7904,"{""_number_of_values"": 2, ""icon"": ""pie-50-0000FF-50-FFFFFF.png""}",43-95,,,43,96,43,,1
7905,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-96,,,43,97,43,,1
7906,"{""wals_value_number"": 1, ""icon"": ""pie-100-0000FF.png""}",43-97,,,43,98,43,,1
7907,"{""wals_value_number"": 2, ""icon"": ""pie-100-0000FF.png""}",43-100,"Note that most stative verbs have special negative forms, e.g. kere 'want' and nungkere 'not want'.","Note that most stative verbs have special negative forms, e.g. <span style=""font-style: italic;"">kere</span> 'want' and <span style=""font-style: italic;"">nungkere</span> 'not want'.",43,101,43,,1
7908,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-101,,,43,102,43,,1
7909,"{""wals_value_number"": 1, ""icon"": ""pie-50-FFFFFF-50-ADD8E6.png""}",43-103,,,43,104,43,,1
7910,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",43-104,There are no examples with other constructions in the corpus.,There are no examples with other constructions in the corpus.,43,105,43,,1
7911,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-106,,,43,107,43,,1
7912,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-109,,,43,110,43,,1
7913,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-110,,,43,111,43,,1
7914,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",1431-111,"The expression olu su lagër is bimorphemic; however, it does not contain the word for 'water', but the word for tears (lagër).","The expression <span style=""font-style: italic;"">olu su lagër</span> is bimorphemic; however, it does not contain the word for 'water', but the word for tears (<span style=""font-style: italic;"">lagër</span>).",77,112,43,,1
7955,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",9-32,"Da and dat commonly alternate, and are much more frequent than dis.","<span style=""font-style: italic;"">Da</span> and <span style=""font-style: italic;"">dat </span>commonly alternate, and are much more frequent than <span style=""font-style: italic;"">dis</span>.",9,33,9,,1
7915,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",43-112,"There are two different words in the Batavia corpus, but it is not clear whether maw denotes only the hand or the hand and the forearm.
In the case of peo 'foot', expressions like peo kutu 'short legs' and bariga di peo 'calf' (lit. 'belly of the leg') show that peo (< Portuguese pé 'foot') cannot only mean 'foot', but also 'leg' or 'leg up to the knee'.
Besides this, one source for Tugu indicates that mao means 'hand and forearm'.","There are two different words in the Batavia corpus, but it is not clear whether <span style=""font-style: italic;"">maw</span> denotes only the hand or the hand and the forearm.
In the case of <span style=""font-style: italic;"">peo</span> 'foot', expressions like <span style=""font-style: italic;"">peo kutu</span> 'short legs' and <span style=""font-style: italic;"">bariga di peo</span> 'calf' (lit. 'belly of the leg') show that <span style=""font-style: italic;"">peo</span> (&lt; Portuguese <span style=""font-style: italic;"">pé</span> 'foot') cannot only mean 'foot', but also 'leg' or 'leg up to the knee'.
Besides this, one source for Tugu indicates that <span style=""font-style: italic;"">mao</span> means 'hand and forearm'.",43,113,43,,1
7916,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-113,,,43,114,43,,1
7917,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-114,,,43,115,43,,1
7918,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",1431-114,,,77,115,43,,1
7919,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",1431-115,,,77,116,43,,1
7920,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-116,,,43,117,43,,1
7921,"{""_number_of_values"": 1, ""icon"": ""pie-100-0000FF.png""}",43-117,"There is only one example for female and male animals in the whole corpus, whereby kabra is translated as 'he-goat'.
With humans, it is omi that is used for males: irmang moler 'sister' vs. irmang omi 'brother'.","There is only one example for female and male animals in the whole corpus, whereby <span style=""font-style: italic;"">kabra</span> is translated as 'he-goat'.
With humans, it is <span style=""font-style: italic;"">omi</span> that is used for males: <span style=""font-style: italic;"">irmang moler</span> 'sister' vs. <span style=""font-style: italic;"">irmang omi</span> 'brother'.",43,118,43,,1
7922,"{""_number_of_values"": 1, ""icon"": ""pie-100-FF0000.png""}",43-118,,,43,119,43,,1
7923,"{""_number_of_values"": 1, ""icon"": ""pie-100-000000.png""}",43-119,Two or three consonants in coda position are very rare in the corpus. It is not clear whether the spelling represents pronunciation.,Two or three consonants in coda position are very rare in the corpus. It is not clear whether the spelling represents pronunciation.,43,120,43,,1
7924,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",9-1,,,9,2,9,,1
7925,"{""wals_value_number"": 3, ""icon"": ""pie-50-0000FF-50-FF0000.png""}",9-2,"The possessum-possessor construction with for applies to animate as well as inanimate possessors, but the fi-construction occurs only with animate possessor.","The possessum-possessor construction with <span style=""font-style: italic;"">for</span> applies to animate as well as inanimate possessors, but the <span style=""font-style: italic;"">fi</span>-construction occurs only with animate possessor.",9,3,9,,1
7926,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",9-3,,,9,4,9,,1
7927,"{""wals_value_number"": 2, ""icon"": ""pie-100-FF0000.png""}",9-4,,,9,5,9,,1
7928,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",9-5,Demonstratives are derived from English demonstratives (that > da; this > dis (in mesolects).,"Demonstratives are derived from English demonstratives (<span style=""font-style: italic;"">that </span>&gt; <span style=""font-style: italic;"">da</span>;<span style=""font-style: italic;""> this</span> &gt; <span style=""font-style: italic;"">dis</span> (in mesolects).",9,6,9,,1
7929,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",9-6,,,9,7,9,,1
7930,"{""wals_value_number"": 1, ""icon"": ""pie-100-FF0000.png""}",9-7,,,9,8,9,,1
7931,"{""wals_value_number"": 1, ""icon"": ""pie-100-FFFF00.png""}",9-8,Degree ('very') is mostly represented by reduplication of the adjective.,Degree ('very') is mostly represented by reduplication of the adjective.,9,9,9,,1
7932,"{""_number_of_values"": 2, ""icon"": ""pie-70-FFFF00-30-ADD8E6.png""}",9-9,The circumposed article in Example 20 (di net de) usually has emphatic value; de has lost its spatial function here.,"The circumposed article in Example 20 (<span style=""font-style: italic;"">di net de</span>) usually has emphatic value; <span style=""font-style: italic;"">de</span> has lost its spatial function here.",9,10,9,,1
7933,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFF00.png""}",9-10,,,9,11,9,,1
7934,"{""_number_of_values"": 2, ""icon"": ""pie-70-FF0000-30-FFFF00.png""}",9-11,"'Often' is not found in the data. Instead Belizean Creole speakers use 'usually; mostly, sometimes, always' etc. Those occur pre-verbally. 
An equivalent expression is the use of 'lone' in adjectival position. It is is very common and works as an emphatic marker (see examples 26 and 27).","'Often' is not found in the data. Instead Belizean Creole speakers use 'usually; mostly, sometimes, always' etc. Those occur pre-verbally. 
An equivalent expression is the use of 'lone' in adjectival position. It is is very common and works as an emphatic marker (see examples 26 and 27).",9,12,9,,1
7935,"{""wals_value_number"": 1, ""icon"": ""pie-100-FF0000.png""}",9-12,,,9,13,9,,1
